"pod","bodega","descricao","ano","region","tipo","uvas","falta_nota_cata","falta_card_criticos","nota_cata","card_criticos"
"POD019441","Joan D´Anguera","","2017","Montsant","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Garnacha"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD016247","Palacios Remondo","","2022","Rioja","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Tempranillo"",""pct"":null,""confianza"":""alta""},{""nome"":""Garnacha"",""pct"":null,""confianza"":""alta""},{""nome"":""Graciano"",""pct"":null,""confianza"":""alta""}]","nao","sim","Nariz: cassis, ervas e mineral sutil. Boca: tenso elegante, taninos vibrantes e puro. Jovem top. Beba 2027-2045+. Harmonização: carne vermelha ou queijo curado.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD015278","Sierra Cantabria","","2022","Rioja","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Tempranillo"",""pct"":null,""confianza"":""alta""},{""nome"":""Garnacha"",""pct"":null,""confianza"":""alta""},{""nome"":""Graciano"",""pct"":null,""confianza"":""alta""}]","nao","sim","Nariz: cassis, ervas. Boca: denso puro vibrante. Jovem top. Beba 2027-2045+. Harmonização: assados.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD018350","Kongsgaard","","2022","Estados Unidos (California)","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Syrah"",""pct"":null,""confianza"":""estimada""}]","nao","sim","Nariz: cassis mineral. Boca: denso puro. Kongsgaard top. Beba agora-2035+. Harmonização: caça.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD019305","Domaine des Perdrix","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","nao","sim","Nariz: morango, ervas. Boca: fresco denso. Perdrix top. Jovem top. Beba agora-2030+. Harmonização: carnes leves.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD019303","Domaine des Perdrix","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","nao","sim","Nariz: cassis mineral. Boca: denso puro. Vosne top. Jovem top. Beba agora-2030+. Harmonização: aves.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD019762","Domaine Ponsot","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","nao","sim","Nariz: cassis violetas. Boca: denso puro eterno. Clos de la Roche top. Jovem top. Beba 2028-2045+. Harmonização: carne premium.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD010541","Domaine Bart","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","nao","sim","Nariz: cassis violetas mineral. Boca: denso eterno. Clos de Beze top. Beba agora-2045+. Harmonização: luxo máximo.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD019156","Domaine de Montille","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","nao","sim","Nariz: morango fresco. Boca: leve denso. Bourgogne top. Jovem top. Beba agora-2028+. Harmonização: aperitivo.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD019302","Domaine des Perdrix","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""estimada""}]","nao","sim","Nariz: frutas vermelhas frescas. Boca: vibrante mineral. Bourgogne top. Jovem top. Beba agora-2028+. Harmonização: aperitivo.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD019274","Domaine de l´Arlot","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","nao","sim","Nariz: cassis, ervas. Boca: denso puro. Clos Arlot top. Jovem top. Beba agora-2030+. Harmonização: carne vermelha.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD019284","Domaine de l´Arlot","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","nao","sim","Nariz: cassis violetas mineral. Boca: denso eterno. RSV top. Jovem top. Beba 2028-2045+. Harmonização: luxo máximo.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD019282","Domaine de l´Arlot","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","nao","sim","Nariz: frutas vermelhas, mineral. Boca: vibrante denso. Suchots top. Jovem top. Beba agora-2030+. Harmonização: peixe.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD019308","Domaine des Perdrix","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","nao","sim","Nariz: cassis violetas. Boca: denso puro eterno. Echezeaux top. Jovem top. Beba 2028-2045+. Harmonização: carne premium.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD019094","Domaine Dujac","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""estimada""}]","nao","sim","Nariz: frutas vermelhas, ervas. Boca: vibrante denso. Jovem top. Beba 2028-2045+. Harmonização: carne vermelha.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD019095","Domaine Dujac","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""estimada""}]","nao","sim","Nariz: morango mineral. Boca: fresco puro. Aux Combottes top. Jovem top. Beba agora-2030+. Harmonização: aves.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD019301","Jean Jacques Confuron","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","nao","sim","Nariz: morango fresco. Boca: leve vibrante. Jeunesse top. Jovem top. Beba agora-2028+. Harmonização: aperitivo.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD019315","Jean-Jacques Confuron","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","nao","sim","Nariz: cassis mineral. Boca: denso puro. Clos Vougeot top. Jovem top. Beba agora-2030+. Harmonização: carne.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD019304","Jean Jacques Confuron","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","nao","sim","Nariz: frutas vermelhas, ervas. Boca: fresco denso. Fleurieres top. Jovem top. Beba agora-2028+. Harmonização: aves.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD019317","Jean-Jacques Confuron","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","nao","sim","Nariz: cassis violetas. Boca: denso eterno. RSV top. Jovem top. Beba 2028-2045+. Harmonização: luxo máximo.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD018721","Domaine Antoine Lepetit","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","nao","sim","Nariz: morango, ervas. Boca: fresco denso. Pommard top. Jovem top. Beba agora-2028+. Harmonização: carnes grelhadas.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD018716","Mark Haisma","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","nao","sim","Nariz: frutas vermelhas frescas. Boca: vibrante leve. Bourgogne top. Jovem top. Beba agora-2028+. Harmonização: aperitivo.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD018717","Mark Haisma","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","nao","sim","Nariz: cassis, ervas. Boca: denso puro. Chambolle top. Jovem top. Beba agora-2030+. Harmonização: carnes leves.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD018177","Mark Haisma","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","nao","sim","Nariz: morango mineral. Boca: fresco denso. Arvelets top. Jovem top. Beba agora-2028+. Harmonização: queijos.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD019273","Henri Magnien","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","nao","sim","Nariz: morango, ervas. Boca: vibrante mineral. Gevrey top. Jovem top. Beba agora-2028+. Harmonização: aperitivo.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD019281","Henri Magnien","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","nao","sim","Nariz: cassis violetas. Boca: denso puro. Ruchottes top. Jovem top. Beba 2028-2045+. Harmonização: carne premium.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD019331","Morey-Blanc","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","nao","sim","Nariz: frutas vermelhas, mineral. Boca: elegante taninos finos. Volnay top. Jovem top. Beba agora-2030+. Harmonização: carnes leves.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD019381","Philippe Pacalet","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","nao","sim","Nariz: cassis violetas. Boca: denso eterno. Charmes top. Jovem top. Beba 2028-2045+. Harmonização: carne premium.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD019369","Philippe Pacalet","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""estimada""}]","nao","sim","Nariz: cassis, ervas. Boca: denso puro. Clos de Vougeot top. Jovem top. Beba agora-2030+. Harmonização: carne vermelha.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD019244","Philippe Pacalet","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","nao","sim","Nariz: cassis violetas. Boca: denso eterno. Echezeaux top. Jovem top. Beba 2028-2045+. Harmonização: carne vermelha.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD019214","Philippe Pacalet","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""estimada""}]","nao","sim","Nariz: morango, mineral. Boca: fresco denso. NSG top. Jovem top. Beba agora-2028+. Harmonização: aves.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD019223","Philippe Pacalet","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","nao","sim","Nariz: frutas vermelhas, ervas. Boca: vibrante denso. Vosne top. Jovem top. Beba agora-2030+. Harmonização: carnes leves.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD019407","Pierre-Vincent","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","nao","sim","Nariz: frutas vermelhas, ervas. Boca: elegante taninos finos. Volnay top. Jovem top. Beba agora-2030+. Harmonização: carnes leves.|WA: N/A|JS: N/A|Peñín: N/A",""
"POD017551","Prieure-Roch","","2017","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017552","Prieure-Roch","","2020","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017731","Prieure-Roch","","2022","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD010092","Prieure-Roch","","2020","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""estimada""}]","sim","sim","",""
"POD017735","Prieure-Roch","","2022","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018210","Jean & Juliette Orsoni","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018768","Henri Rebourseau","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018764","Henri Rebourseau","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018774","Henri Rebourseau","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018776","Henri Rebourseau","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD010608","Domaine de la Romanée-Conti","","2019","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD010611","Domaine de la Romanée-Conti","","2019","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD010612","Domaine de la Romanée-Conti","","2019","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD010613","Domaine de la Romanée-Conti","","2019","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD016242","Rossignol-Trapet","","2022","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD016241","Rossignol-Trapet","","2022","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD016239","Rossignol-Trapet","","2022","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD011278","Rossignol-Trapet","","2021","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD010156","Rossignol-Trapet","","2020","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD016240","Rossignol-Trapet","","2022","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017901","Joseph Roty","","2022","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD016560","Domaine Rougeot","","2022","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017785","Georges Roumier","","2015","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017299","Georges Roumier","","2013","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""estimada""}]","sim","sim","",""
"POD017548","Armand Rousseau","","2005","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017557","Armand Rousseau","","2017","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD016415","Armand Rousseau","","2019","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017151","Armand Rousseau","","2004","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017150","Armand Rousseau","","2014","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017147","Armand Rousseau","","2014","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017791","Armand Rousseau","","2008","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017145","Armand Rousseau","","2005","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017300","Armand Rousseau","","2016","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017139","Armand Rousseau","","2010","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017137","Armand Rousseau","","2010","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""estimada""}]","sim","sim","",""
"POD017793","Armand Rousseau","","2008","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017788","Armand Rousseau","","2008","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD016416","Armand Rousseau","","2020","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017792","Armand Rousseau","","2008","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018176","Patrick Johnston-Si Tu Sais","","2023","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017305","Sylvain Cathiard","","1999","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD013338","David Duband","","2022","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD011406","Thibault-Liger Belair","","2020","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017042","Domaine Trapet","","2005","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD016839","Domaine Trapet","","2019","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD016840","Domaine Trapet","","2020","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017357","Domaine Trapet","","2021","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017034","Domaine Trapet","","2022","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017037","Domaine Trapet","","2022","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017038","Domaine Trapet","","2022","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017036","Domaine Trapet","","2022","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD011642","Aubert et Pamèla De Villaine","","2021","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD013304","Vincent Girardin","","2022","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017375","Comte Georges de Vogüé","","2022","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017374","Comtes Georges de Vogüé","","2022","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017376","Comte Georges Vogüé","","2022","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017373","Comtes Georges de Vogüé","","2022","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017377","Comte Georges de Vögué","","2022","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD013434","Comte Georges de Vögué","","2021","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017971","Château Palmer","","2022","Burdeos","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Cabernet Sauvignon"",""pct"":null,""confianza"":""alta""},{""nome"":""Merlot"",""pct"":null,""confianza"":""alta""},{""nome"":""Cabernet Franc"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017966","Château Pavie","","2022","Burdeos","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Merlot"",""pct"":null,""confianza"":""alta""},{""nome"":""Cabernet Franc"",""pct"":null,""confianza"":""alta""},{""nome"":""Cabernet Sauvignon"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017988","Château Lafite-Rothschild","","2022","Burdeos","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Cabernet Sauvignon"",""pct"":null,""confianza"":""alta""},{""nome"":""Merlot"",""pct"":null,""confianza"":""alta""},{""nome"":""Cabernet Franc"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018006","Château Angélus","","2022","Burdeos","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Merlot"",""pct"":null,""confianza"":""alta""},{""nome"":""Cabernet Franc"",""pct"":null,""confianza"":""alta""},{""nome"":""Cabernet Sauvignon"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD016288","Château Angélus","","2016","Burdeos","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Merlot"",""pct"":null,""confianza"":""alta""},{""nome"":""Cabernet Franc"",""pct"":null,""confianza"":""alta""},{""nome"":""Cabernet Sauvignon"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD016290","Château Angélus","","2018","Burdeos","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Merlot"",""pct"":null,""confianza"":""alta""},{""nome"":""Cabernet Franc"",""pct"":null,""confianza"":""alta""},{""nome"":""Cabernet Sauvignon"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD016291","Château Angélus","","2019","Burdeos","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Merlot"",""pct"":null,""confianza"":""alta""},{""nome"":""Cabernet Franc"",""pct"":null,""confianza"":""alta""},{""nome"":""Cabernet Sauvignon"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD016287","Château Angélus","","2020","Burdeos","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Merlot"",""pct"":null,""confianza"":""alta""},{""nome"":""Cabernet Franc"",""pct"":null,""confianza"":""alta""},{""nome"":""Cabernet Sauvignon"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD008772","Château Angélus","","2018","Burdeos","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Merlot"",""pct"":null,""confianza"":""alta""},{""nome"":""Cabernet Franc"",""pct"":null,""confianza"":""alta""},{""nome"":""Cabernet Sauvignon"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD010103","Château Angélus","","2019","Burdeos","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Merlot"",""pct"":null,""confianza"":""alta""},{""nome"":""Cabernet Franc"",""pct"":null,""confianza"":""alta""},{""nome"":""Cabernet Sauvignon"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD010651","Château Angélus","","2020","Burdeos","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Merlot"",""pct"":null,""confianza"":""alta""},{""nome"":""Cabernet Franc"",""pct"":null,""confianza"":""alta""},{""nome"":""Cabernet Sauvignon"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD011794","Château Angélus","","2021","Burdeos","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Merlot"",""pct"":null,""confianza"":""alta""},{""nome"":""Cabernet Franc"",""pct"":null,""confianza"":""alta""},{""nome"":""Cabernet Sauvignon"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
