Nome original|Safra|Região|Uva|Preço|Notas de Cata (sommelier simples)|Card Críticos
Fleurot Larose Chassagne Rocquemaure 20-|2020|Borgoña|Chardonnay|278€|Nariz: maçã madura, limão sutil, mineral e noz leve. Boca: cremoso fresco, acidez viva, corpo médio, final longo mineral. Elegante equilibrado, pronto mas evolui bem. Beba agora-2032. Peixe grelhado ou frango cremoso.|JS: N/A (similar 92-94) | WA: N/A | TA: N/A | Peñín: N/A
Cos Estournel St Estephe 19 BL-|2019|Burdeos|Sauvignon Blanc|310€|Nariz: cítricos mineral. Boca: equilibrado cremoso. Maduro gostoso. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pavillon Blanc Ch Margaux 22-|2022|Burdeos|Sauvignon Blanc|833€|Nariz: maracujá limão, ervas. Boca: fresco denso, acidez viva. Ícone branco Margaux. Beba 2026-2040. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pavillon Blanc de Ch Margaux 12 BL-|2012|Burdeos|Sauvignon Blanc|615€|Nariz: mel maçã madura. Boca: cremoso complexo. Maduro delicioso. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pavillon Blanc de Ch Margaux 17 BL-|2017|Burdeos|Sauvignon Blanc|604€|Nariz: frutas tropicais mineral. Boca: elegante longo. Evoluído top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Cellier Saint Benoit Arbois Chardonnay Les Charots 22-|2022|Jura|Chardonnay|125€|Nariz: maçã limão, noz sutil. Boca: cremoso mineral, acidez viva. Jura clássico. Beba agora-2032. Queijo Comté.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Domaine Macle Cotes du Jura Sous Voile 18-|2018|Jura|Savagnin|72€|Nariz: noz, maçã oxidada, curry sutil. Boca: seco oxidativo, salino longo. Vin jaune estilo. Beba agora-2035. Queijos fortes.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Macle Chateau Chalon 18-|2018|Jura|Savagnin|250€|Nariz: noz curry, maçã seca. Boca: intenso salino, final eterno. Vin jaune top. Beba agora-2040. Foie gras ou Comté velho.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pieds Sur Terre Savag Ouille 22-|2022|Jura|Chardonnay|87€|Nariz: maçã mineral, ervas. Boca: puro fresco, acidez alta. Natural Jura. Beba agora-2030. Peixe.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Tissot Arbois Savagnin Sous Voile 20-|2020|Jura|Savagnin|124€|Nariz: noz maçã oxidada. Boca: seco salino, longo. Estilo vin jaune. Beba agora-2035. Queijos.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Tissot Arbois Savagnin Sous Voile 21-|2021|Jura|Savagnin|108€|Nariz: ervas mineral. Boca: tenso oxidativo. Fresco Jura. Beba agora-2032.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Tissot Chateau Chalon 16-|2016|Jura|Savagnin|260€|Nariz: noz curry intenso. Boca: salino eterno. Vin jaune lendário. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Cigalus Blanc 23-|2023|Languedoc-Roussillon|Chardonnay|86€|Nariz: limão abacaxi, carvalho sutil. Boca: cremoso fresco, acidez viva. Sul francês top. Beba agora-2030. Peixe grelhado.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Villa Soleia 21-|2021|Languedoc-Roussillon|Garnacha Blanca|330€|Nariz: frutas brancas, ervas mediterrâneas. Boca: denso mineral, longo. Elegante. Beba agora-2032. Aves.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Bretaudeau Gabbro 23-|2023|Loira|Melon de Bourgogne|72€|Nariz: maçã verde, ervas. Boca: seco crocante, mineral. Muscadet top. Beba agora-2028. Ostras.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Cherrier Cuvee Phillipa 23-|2023|Loira|Sauvignon Blanc|68€|Nariz: maracujá, ervas, mineral. Boca: fresco acidez viva. Sancerre puro. Beba agora-2030. Cabra ou salada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Cherrier Sancerre 23-|2023|Loira|Sauvignon Blanc|65€|Nariz: limão ervas cítricas. Boca: crocante mineral. Clássico Sancerre. Beba agora-2028. Peixe.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Clos Rougeard Breze 19-|2019|Loira|Chenin Blanc|405€|Nariz: maçã madura, mel, mineral. Boca: cremoso denso, acidez viva. Chenin top. Beba agora-2040. Aves ou queijo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Clos Rougeard Breze 2018-|2018|Loira|Chenin Blanc|508€|Nariz: frutas brancas mineral. Boca: rico complexo. Evoluído delicioso. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dagueneau Blanc ETC 22-|2022|Loira|Sauvignon Blanc|205€|Nariz: maracujá ervas mineral. Boca: puro tenso, acidez alta. Dagueneau clássico. Beba agora-2035. Cabra.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dagueneau Mont Damne 22-|2022|Loira|Sauvignon Blanc|310€|Nariz: cítricos flores mineral. Boca: denso elegante longo. Top Sancerre. Beba 2026-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dagueneau Pur Sang 22-|2022|Loira|Sauvignon Blanc|300€|Nariz: limão ervas. Boca: vibrante mineral. Puro. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dagueneau Silex 09-|2009|Loira|Sauvignon Blanc|662€|Nariz: mel mineral maduro. Boca: complexo eterno. Maduro lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dagueneau Silex 22-|2022|Loira|Sauvignon Blanc|439€|Nariz: maracujá mineral. Boca: tenso longo. Ícone. Beba 2026-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dagueneau VDF Buisson Renard 22-|2022|Loira|Sauvignon Blanc|289€|Nariz: frutas tropicais ervas. Boca: cremoso puro. Elegante. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dagueneau XXI 21-|2021|Loira|Sauvignon Blanc|295€|Nariz: limão mineral. Boca: fresco denso. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Domaine du Bouchot MCMLV 22-|2022|Loira|Sauvignon Blanc|68€|Nariz: ervas cítricos. Boca: crocante mineral. Bom Sancerre. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Domaine du Bouchot Terres Blanches 22-|2022|Loira|Sauvignon Blanc|55€|Nariz: maçã limão. Boca: fresco puro. Valor ótimo. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Domaine Vacheron Sancerre Bl 23-|2023|Loira|Sauvignon Blanc|65€|Nariz: flores cítricos mineral. Boca: vibrante salino. Clássico. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Domaine Vacheron Sancerre bl 24-|2024|Loira|Sauvignon Blanc|70€|Nariz: limão ervas. Boca: jovem crocante. Fresco. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Eric Morgat Anjou Croisee 17-|2017|Loira|Chenin Blanc|125€|Nariz: maçã mel mineral. Boca: cremoso seco, acidez viva. Chenin maduro. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Eric Morgat Fides 2018-|2018|Loira|Chenin Blanc|158€|Nariz: frutas maduras mineral. Boca: denso elegante. Top Chenin. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
G Fargette Sancerre Epsilon 20-|2020|Loira|Sauvignon Blanc|121€|Nariz: maracujá mineral. Boca: cremoso puro. Elegante. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pascal Cotat La Grande Cote 23-|2023|Loira|Sauvignon Blanc|152€|Nariz: ervas cítricos. Boca: tenso mineral. Cotat top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pascal Cotat Monts Damnes 23-|2023|Loira|Sauvignon Blanc|152€|Nariz: limão flores. Boca: denso longo. Ícone. Beba 2026-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Vacheron Sancerre Les Romains 23-|2023|Loira|Sauvignon Blanc|130€|Nariz: mineral ervas. Boca: salino puro. Top terroir. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Chapoutier De L’Orée 14-|2014|Ródano|Marsanne|498€|Nariz: mel maçã madura, mineral. Boca: cremoso complexo, acidez viva. Hermitage branco evoluído. Beba agora-2030. Aves ou queijo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Chapoutier Ermitage L Oree 00-|2000|Ródano|Marsanne|630€|Nariz: mel noz evoluída. Boca: rico eterno. Maduro lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Chapoutier Ermitage L Oree 18-|2018|Ródano|Marsanne|475€|Nariz: frutas brancas mineral. Boca: denso cremoso. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Chapoutier Ermitage L Oree 21-|2021|Ródano|Marsanne|496€|Nariz: limão mel. Boca: equilibrado longo. Elegante. Beba 2026-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Chapoutier Ermitage Le Meal 13-|2013|Ródano|Syrah|646€|Nariz: frutas escuras mineral (branco? verifique). Boca: denso complexo. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Chapoutier Ermitage Le Meal 15 BL-|2015|Ródano|Syrah|537€|Nariz: mel mineral. Boca: cremoso longo. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Chapoutier Ermitage Le Meal 21 BL-|2021|Ródano|Syrah|475€|Nariz: frutas brancas mineral. Boca: denso equilibrado. Elegante. Beba 2026-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Chapoutier Ermitage L'Oree 22-|2022|Ródano|Marsanne|491€|Nariz: mel limão. Boca: cremoso mineral. Top. Beba 2026-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Chapoutier Le Meal 10-|2010|Ródano|Marsanne|565€|Nariz: mel maçã madura. Boca: rico complexo. Maduro top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Chapoutier St Joseph Deschants BL 21-|2021|Ródano|Marsanne|55€|Nariz: maçã mineral. Boca: fresco cremoso. Bom valor. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Clos des Papes Chateauneuf du Pape BL 23-|2023|Ródano|Garnacha|171€|Nariz: frutas brancas ervas. Boca: fresco mineral, acidez viva. Branco Châteauneuf clássico. Beba agora-2030. Peixe ou aves.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Clos des Papes Chateauneuf du Pape BL 24-|2024|Ródano|Garnacha|165€|Nariz: limão ervas. Boca: seco tenso mineral. Jovem vibrante. Beba 2026-2032. Mariscos.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Domaine des Tours Vaucluse 20 BL-|2020|Ródano|Grenache Blanc|135€|Nariz: maçã flores mineral. Boca: puro fresco, corpo médio. Elegante Vaucluse. Beba agora-2030. Peixe.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
G Vernay Cond Terras l'empire 23-|2023|Ródano|Viognier|158€|Nariz: flores pêssego, mineral. Boca: cremoso aromático, acidez boa. Condrieu top. Beba agora-2030. Aves ou queijo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
G Vernay Condr Coteau Vernon 22-|2022|Ródano|Viognier|305€|Nariz: abricó mel floral. Boca: rico denso, final longo. Ícone Condrieu. Beba agora-2035. Foie gras.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Guigal Hermitage Ex Voto Blanc 2015-|2015|Ródano|Marsanne|240€|Nariz: mel maçã madura, mineral. Boca: cremoso complexo, acidez viva. Hermitage branco top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
J Louis Chave Hermitage BL 17-|2017|Ródano|Marsanne|475€|Nariz: frutas brancas mineral. Boca: denso elegante longo. Ícone Chave. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
La Janasse Chateauneuf BL 24-|2024|Ródano|Garnacha|112€|Nariz: limão ervas. Boca: fresco mineral. Branco Châteauneuf vibrante. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Le Vieux Donjon Chat Pape BL 24-|2024|Ródano|Garnacha Blanca|115€|Nariz: maçã flores mineral. Boca: puro seco, acidez viva. Clássico. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Tard Laurent Chateaunf Cuv Esp 22-|2022|Ródano|Garnacha|171€|Nariz: frutas brancas ervas. Boca: cremoso equilibrado. Elegante. Beba agora-2032.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Tard Laurent Nobles Origines BL 23-|2023|Ródano|Garnacha Blanca|50€|Nariz: limão mineral. Boca: fresco puro. Bom valor. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Tardieu Laurent Hermitag BL 22-|2022|Ródano|Marsanne|168€|Nariz: mel maçã mineral. Boca: cremoso denso. Hermitage branco top. Beba 2026-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Oremus Petracs 21-|2021|Tokaji-Hegyalja|Furmint|115€|Nariz: maçã madura, mel, mineral. Boca: seco complexo, acidez viva. Tokaji seco elegante. Beba agora-2030. Aves ou queijo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Oremus Mandolas 22-|2022|Tokaji-Hegyalja|Furmint|42€|Nariz: limão maçã, ervas. Boca: fresco mineral, corpo médio. Bom valor Tokaji. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Oremus Mandolas 23-|2023|Tokaji-Hegyalja|Furmint|40€|Nariz: cítricos flores. Boca: vibrante puro. Jovem fresco. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Emidio Pepe Trebbiano d´Abruzzo 21-|2021|Abruzzo|Trebbiano|120€|Nariz: maçã limão, ervas. Boca: mineral seco, acidez viva. Trebbiano top. Beba agora-2030. Peixe ou pasta.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Valentini Trebbiano D’ Abruzzo 20-|2020|Abruzzo|Trebbiano|403€|Nariz: frutas brancas mineral. Boca: denso complexo, longo. Ícone Valentini. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Marisa Cuomo Amalfi Furore BL 23-|2023|Campania|Falanghina|78€|Nariz: limão flores, ervas. Boca: fresco salino, acidez viva. Costa Amalfitana puro. Beba agora-2028. Frutos do mar.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Quintodecimo Exullet 14-|2021|Campania|Fiano|101€|Nariz: maçã pera, mineral. Boca: cremoso elegante, acidez boa. Fiano top. Beba agora-2030. Peixe ou queijo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Terredora Campore Rva 19-|2019|Campania|Fiano|42€|Nariz: frutas brancas ervas. Boca: mineral seco, longo. Bom valor. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Terredora Loggia della Serra BL 24-|2024|Campania|Greco|38€|Nariz: cítricos flores. Boca: vibrante puro. Greco fresco. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Gravner Ribolla 15-|2015|Friuli-Venezia-Giulia|Ribolla Gialla|174€|Nariz: maçã seca, ervas, oxidativo. Boca: seco complexo, taninos leves. Laranja natural top. Beba agora-2030. Queijos ou pato.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Baricchi Ça Va Sans Dire 16-|2016|Piamonte|Nascetta|124€|Nariz: maçã limão, ervas. Boca: fresco mineral, corpo médio. Nascetta rara. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Bruno Giacosa Roero Arneis 24-|2024|Piamonte|Arneis|61€|Nariz: pera maçã, flores. Boca: fresco aromático, acidez viva. Arneis clássico. Beba agora-2028. Aperitivo ou peixe.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Gaja Gaia & Rey Langhe 22-|2022|Piamonte|Chardonnay|606€|Nariz: limão maçã, carvalho sutil. Boca: cremoso mineral, longo. Gaja top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Gaja Rossj-|2023|Piamonte|Chardonnay|92€|Nariz: frutas brancas flores. Boca: fresco equilibrado. Bom valor Gaja. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Marchesi di Barolo 23-|2023|Piemonte|Arneis|50€|Nariz: maçã limão. Boca: fresco mineral. Arneis acessível. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pio Cesare L Altro 24-|2024|Piamonte|Chardonnay|52€|Nariz: limão maçã. Boca: cremoso fresco. Elegante. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Vietti Derthona Timorasso 23-|2023|Piamonte|Timorasso|88€|Nariz: maçã mineral, ervas. Boca: tenso puro, acidez viva. Timorasso top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Cos Rami Grillo e Insolia 23-|2023|Sicília|Grillo|52€|Nariz: limão flores, mineral. Boca: fresco salino. Sicília puro. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pietro Caciorgna Etna Bianco 22-|2022|Sicília|Nerello Mascalese|44€|Nariz: maçã mineral vulcânico. Boca: tenso fresco. Etna branco. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Terre N Calderara Sottana BL 22-|2022|Sicília|Nerello Mascalese|77€|Nariz: frutas brancas mineral. Boca: puro salino. Etna top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Terre Nere Calderara Sott BL 23-|2023|Sicília|Carricante|92€|Nariz: limão mineral vulcânico. Boca: tenso elegante. Etna clássico. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Terre Nere Salice BL 23-|2023|Sicília|Carricante|84€|Nariz: cítricos flores. Boca: fresco mineral. Bom valor Etna. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Terre Nere Santo Espirito BL 23-|2023|Sicília|Carricante|84€|Nariz: maçã mineral. Boca: puro tenso. Elegante. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Cervaro della Sala BL-|2022|Toscana|Chardonnay|145€|Nariz: limão maçã, carvalho sutil. Boca: cremoso mineral, longo. Antinori top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Colle Massari Melacce 24-|2024|Toscana|Vermentino|32€|Nariz: limão ervas. Boca: fresco salino. Vermentino puro. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Guicciardini Strozzi Vernacia 20-|2020|Toscana|Vernaccia|38€|Nariz: maçã limão. Boca: mineral seco. Vernaccia clássica. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Abbazia Novacella Riesling Praepositus 22-|2022|Trentino-Alto Adige|Riesling|72€|Nariz: limão maçã verde, mineral. Boca: acidez viva, puro. Riesling alpino. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pacherhof Kerner 23-|2023|Trentino-Alto Adige|Kerner|44€|Nariz: flores pêssego. Boca: aromático fresco. Kerner elegante. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Terlan Quartz 22-|2022|Trentino-Alto Adige|Sauvignon Blanc|118€|Nariz: maracujá ervas mineral. Boca: tenso puro. Sauvignon top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Tramin Pinot Grigio Classic 24-|2024|Trentino-Alto Adige|Pinot Grigio|37€|Nariz: maçã pera, flores. Boca: fresco mineral. Pinot Grigio clássico. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Fillipi Castelcerino 24-|2024|Véneto|Garganega|35€|Nariz: maçã limão, ervas. Boca: mineral seco. Soave puro. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Suavia Montecarbonare 22-|2022|Véneto|Garganega|50€|Nariz: frutas brancas mineral vulcânico. Boca: tenso elegante. Soave top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Kumeu River Mate Chardonnay 23-|2023|Auckland|Chardonnay|193€|Nariz: limão maçã, mineral. Boca: cremoso fresco, acidez viva. NZ top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ata Rangi Te Wa Sauvignon Blanc 22-|2022|Isla Norte|Sauvignon Blanc|58€|Nariz: maracujá ervas. Boca: fresco mineral. NZ clássico. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Escarpment Chardonnay 21-|2021|Isla Norte|Chardonnay|67€|Nariz: limão tostado. Boca: cremoso equilibrado. Elegante. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Kumeu River Auckland Coddington Chardonnay 23-|2023|Isla Norte|Chardonnay|124€|Nariz: maçã limão mineral. Boca: cremoso denso. Top NZ. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Millton Clos De Ste Anne Naboths Vineyard Chardonnay 21-|2021|Isla Norte|Chardonnay|176€|Nariz: frutas brancas mineral. Boca: complexo longo. Biodinâmico top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Palliser Estate Sauvignon Blanc 23-|2023|Isla Norte|Sauvignon Blanc|96€|Nariz: ervas cítricos. Boca: vibrante mineral. NZ puro. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Cloudy Bay Sauvignon Blanc 24-|2024|Isla Sur|Sauvignon Blanc|58€|Nariz: maracujá limão, ervas. Boca: fresco crocante. Ícone NZ. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Greywacke Sauvignon Blanc 23-|2023|Isla Sur|Sauvignon Blanc|94€|Nariz: frutas tropicais mineral. Boca: denso elegante. Top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Neudorf Home Block Moutere Chardonnay 22-|2022|Isla Sur|Chardonnay|205€|Nariz: limão tostado mineral. Boca: cremoso denso. NZ top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Neudorf Home Block Moutere Chardonnay 23-|2023|Isla Sur|Chardonnay|202€|Nariz: maçã mineral. Boca: rico equilibrado. Elegante. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pera Manca Alentejo 22 BL-|2022|Alentejo|Antão Vaz|210€|Nariz: frutas brancas, ervas. Boca: cremoso mineral. Branco português top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pera Manca BL 14-|2014|Alentejo|Antão Vaz|410€|Nariz: maçã madura mel. Boca: complexo evoluído. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
AWC Branco das Azores 23-|2023|Azores|Arinto dos Açores|52€|Nariz: limão sal marinho, mineral vulcânico. Boca: tenso salino. Vulcânico fresco. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Azores W. Arinto dos Azores Branco Vulcánico-|2024|Azores|Arinto dos Açores|57€|Nariz: cítricos mineral vulcânico. Boca: seco puro salino. Vulcânico top. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Filipa Pato Nossa Calcario 24-|2024|Centro|Bical|46€|Nariz: maçã limão, mineral. Boca: fresco crocante. Bical puro. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Niepoort Coche 23-|2023|Douro|Rabigato|205€|Nariz: limão maçã, mineral. Boca: cremoso denso. Branco Douro top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Lothian of Elgin Chardonnay 21-|2021|Cape South Coast|Chardonnay|67€|Nariz: limão tostado mineral. Boca: cremoso fresco. SA elegante. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Springfield Methode Ancienne 20-|2020|Cape South Coast|Chardonnay|117€|Nariz: maçã mineral. Boca: tenso puro. SA top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
De Morgenzon Chenin BL 22-|2022|Central Coast|Chenin Blanc|122€|Nariz: maçã mel, mineral. Boca: cremoso seco, acidez viva. Chenin top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Raats Chenin BL 23-|2023|Central Coast|Chenin Blanc|62€|Nariz: limão ervas. Boca: fresco mineral. Bom valor. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Raats Stellenbosch Old Vine Chenin Blanc 21-|2021|Coastal Region|Chenin Blanc|61€|Nariz: maçã madura mineral. Boca: denso complexo. Old vine top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Storm Vedre 23-|2023|Hemel-en-Aarde|Chardonnay|126€|Nariz: limão maçã mineral. Boca: cremoso elegante. SA top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Savage White 23-|2023|Western Cape|Chenin Blanc|86€|Nariz: frutas brancas ervas. Boca: puro mineral. Elegante. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pago de los Abuelos Blanco 2021|Rueda|Verdejo|175€|Nariz: maçã limão ervas. Boca: fresco mineral. Rueda top. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A (similar 92)
Springfield Estate Blanco 2020|Central Coast|Sauvignon Blanc|113€|Nariz: maracujá ervas. Boca: crocante mineral. SA Sauvignon. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Raats Family Wines Blanco 2023|Coastal Region|Chenin Blanc|65€|Nariz: maçã mel. Boca: cremoso seco. Chenin puro. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Kumeu River Blanco 2023|Isla Norte|Chardonnay|184€|Nariz: limão mineral. Boca: cremoso fresco. NZ top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
4 Monos Blanco 2023|Madrid|Albillo Mayor|44€|Nariz: maçã ervas mineral. Boca: fresco puro. Madrid elegante. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Rico Nuevo Blanco 2022|Castilla y León|Albillo Mayor|52€|Nariz: cítricos flores. Boca: mineral equilibrado. Bom valor. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Bernabeleva Blanco 2022|Madrid|Garnacha|50€|Nariz: frutas brancas ervas. Boca: denso mineral. Garnacha branca. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pera Manca Blanco 2015|Norte|Antão Vaz|625€|Nariz: maçã madura mel. Boca: complexo cremoso. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
De Morgenzon Blanco 2022|Stellenbosch|Chenin Blanc|130€|Nariz: maçã mineral. Boca: cremoso acidez viva. Top SA. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
