Prado Enea 16-|2016|Rioja|Tempranillo|125€|Nariz: cassis mineral maduro, ervas secas, couro sutil. Boca: cremoso taninos polidos, acidez viva, longo elegante. Reserva top madura. Beba agora-2035. Carne grelhada ou queijo curado.|JS: N/A | WA: N/A | TA: N/A | Peñín: 94 (similar Prado Enea)
Comte Vogue Bonnes Mares Gc 21-|2021|Borgoña|Pinot Noir|1813€|Nariz: frutas vermelhas ervas. Boca: cremoso elegante. Bonnes Mares top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Comte Vogue Chambolle-Musigny 21-|2021|Borgoña|Pinot Noir|686€|Nariz: morango flores. Boca: puro mineral. Chambolle top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
D Arlot Cos De Forest 21-|2021|Borgoña|Pinot Noir|218€|Nariz: frutas vermelhas mineral. Boca: fresco tenso. Cos top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
D De Montille Volnay 1C Champans 14-|2014|Borgoña|Pinot Noir|222€|Nariz: morango mineral maduro. Boca: cremoso complexo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
D De Montille Volnay 1C Champans 15-|2015|Borgoña|Pinot Noir|240€|Nariz: frutas vermelhas ervas. Boca: denso elegante. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
D des Perdrix NSG 1C Perdrix 23-|2023|Borgoña|Pinot Noir|242€|Nariz: morango mineral. Boca: puro tenso. NSG top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
D des Perdrix Vosne Romanee 23-|2023|Borgoña|Pinot Noir|188€|Nariz: frutas vermelhas flores. Boca: cremoso elegante. Vosne top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
D Lambrays MSD Baulet 22-|2022|Borgoña (Côte de Nuits)|Pinot Noir|305€|Nariz: morango mineral. Boca: denso puro. MSD top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
D Lambrays MSD Clos Sorbe 22-|2022|Borgoña (Côte de Nuits)|Pinot Noir|403€|Nariz: frutas vermelhas ervas. Boca: cremoso elegante. Clos top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
D Ponsot Clos de la Roche VV 23-|2023|Borgoña|Pinot Noir|980€|Nariz: morango mineral. Boca: denso complexo. Clos VV top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
D. Romanee Conti Grands Echezeaux 14-|2014|Borgoña|Pinot Noir|9350€|Nariz: frutas vermelhas mineral maduro. Boca: denso eterno. Grand Cru lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
D. Romanèe Saint Vivant G.Cru. 14-|2014|Borgoña|Pinot Noir|9800€|Nariz: cassis mineral. Boca: cremoso complexo. Grand Cru top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
D´Eugenie Clos Vougeot 21-|2021|Borgoña|Pinot Noir|1014€|Nariz: morango ervas mineral. Boca: denso elegante. Clos top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Damoy Chambertin Clos de Beze 18-|2023|Borgoña|Pinot Noir|1559€|Nariz: frutas vermelhas mineral. Boca: cremoso taninos firmes. Clos de Beze top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
David Duband Echezeaux 22-|2022|Borgoña|Pinot Noir|540€|Nariz: cassis mineral. Boca: denso puro. Echezeaux top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
De Montille Bourgogne Pinot Noir 23-|2023|Borgoña|Pinot Noir|72€|Nariz: morango ervas. Boca: fresco leve. Bourgogne top. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
De Montille Corton Clos du Roi 22-|2022|Borgoña|Pinot Noir|506€|Nariz: frutas vermelhas mineral. Boca: denso elegante. Clos du Roi top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
De Montille Volnay 1C Champans 20-|2020|Borgoña|Pinot Noir|328€|Nariz: morango mineral. Boca: cremoso tenso. Champans top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
De Montille Volnay Les Taillepieds 22-|2022|Borgoña|Pinot Noir|415€|Nariz: frutas vermelhas ervas. Boca: puro mineral. Taillepieds top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
De Villaine Chalonnnais Fortune 22-|2022|Borgoña|Pinot Noir|82€|Nariz: morango ervas. Boca: fresco equilibrado. Bom valor. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Denis Mortet Clos De La Roche GC 19-|2019|Borgoña|Pinot Noir|1113€|Nariz: frutas vermelhas mineral. Boca: denso cremoso. Clos top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dom des Perdrix Bourgogne TO 23-|2023|Borgoña|Pinot Noir|78€|Nariz: morango ervas. Boca: leve tenso. Bourgogne top. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dom L'Arlot NSG 1C Clos Arlot 23-|2023|Borgoña|Pinot Noir|250€|Nariz: frutas vermelhas mineral. Boca: denso elegante. Clos Arlot top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dom L'Arlot Romanee S Vivant 23-|2023|Borgoña|Pinot Noir|1575€|Nariz: cassis mineral. Boca: cremoso taninos firmes. RSV top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Domaine de L´Arlot NSG Clos Forets 22-|2022|Borgoña|Pinot Noir|236€|Nariz: morango mineral. Boca: puro tenso. Clos Forets top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Domaine de L´Arlot Vosne 1C Suchots 22-|2022|Borgoña|Pinot Noir|436€|Nariz: frutas vermelhas ervas. Boca: cremoso elegante. Suchots top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Domaine de L´Arlot Vosne 1C Suchots 23-|2023|Borgoña|Pinot Noir|420€|Nariz: cassis mineral. Boca: denso puro. Top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Domaine Perdrix Echezeaux 23-|2023|Borgoña|Pinot Noir|530€|Nariz: frutas vermelhas mineral. Boca: denso cremoso. Echezeaux top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Domaine Perdrix NSG 1C Aux Perdrix 22-|2022|Borgoña|Pinot Noir|188€|Nariz: morango ervas. Boca: puro mineral. NSG top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
DRC Echezeaux GC 14-|2014|Borgoña|Pinot Noir|9500€|Nariz: frutas vermelhas mineral maduro. Boca: denso eterno. Grand Cru lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
DRC Grands Echezeaux GC 19-|2019|Borgoña|Pinot Noir|12750€|Nariz: cassis mineral. Boca: cremoso taninos firmes. Grand Cru top. Beba agora-2050.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
DRC La Tache 13-|2013|Borgoña|Pinot Noir|20000€|Nariz: frutas vermelhas ervas maduro. Boca: complexo eterno. La Tache lendária. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
DRC Romane St Vivant GC 19-|2019|Borgoña|Pinot Noir|9100€|Nariz: cassis mineral. Boca: denso elegante. RSV top. Beba agora-2050.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
DRC Romanée-St-Vivant 09-|2009|Borgoña|Pinot Noir|10500€|Nariz: frutas vermelhas mineral maduro. Boca: cremoso complexo. Maduro lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
DRC Romanée-St-Vivant 11-|2011|Borgoña|Pinot Noir|8500€|Nariz: cassis ervas maduro. Boca: denso longo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
DRC Romanée-St-Vivant 12-|2012|Borgoña|Pinot Noir|8100€|Nariz: frutas vermelhas mineral. Boca: cremoso eterno. Top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Drouhin Beaune Clos de Mouches TO 22-|2022|Borgoña|Pinot Noir|307€|Nariz: morango mineral. Boca: cremoso elegante. TO top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Duband Charmes Chambertin 21-|2021|Borgoña|Pinot Noir|550€|Nariz: frutas vermelhas mineral. Boca: denso puro. Charmes top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dujac Charmes Chambertin 22-|2022|Borgoña|Pinot Noir|873€|Nariz: morango ervas. Boca: cremoso tenso. Charmes top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dujac Charmes Chambertin 23-|2023|Borgoña|Pinot Noir|793€|Nariz: frutas vermelhas mineral. Boca: denso elegante. Top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dujac Gevrey 1C Cru Aux Combottes 22-|2022|Borgoña|Pinot Noir|610€|Nariz: cassis mineral. Boca: puro denso. Combottes top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dujac Gevrey 1C Cru Aux Combottes 23-|2023|Borgoña|Pinot Noir|580€|Nariz: morango ervas. Boca: tenso elegante. Top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Duroche Clos De Vougeot 22-|2022|Borgoña|Pinot Noir|785€|Nariz: frutas vermelhas mineral. Boca: denso cremoso. Clos top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Emm Rouget VR Cros Parantoux 19-|2019|Borgoña|Pinot Noir|4500€|Nariz: cassis mineral. Boca: cremoso taninos firmes. Cros Parantoux top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Fleurot Larose Bourgogne TO 20-|2020|Borgoña|Pinot Noir|48€|Nariz: morango ervas. Boca: leve tenso. Bourgogne top. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Fleurot Larose Santenay 1C Passe Temps 20-|2020|Borgoña|Pinot Noir|118€|Nariz: frutas vermelhas mineral. Boca: cremoso elegante. 1er Cru top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Forge De Tart Morey S Denis 1C 21-|2021|Borgoña|Pinot Noir|594€|Nariz: morango mineral. Boca: denso puro. Forge top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Fourrier Chambertin 22-|2022|Borgoña|Pinot Noir|2331€|Nariz: frutas vermelhas mineral. Boca: cremoso tenso. Chambertin top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Fourrier Chambolle-Musigny 1C Les Amoureuses 22-|2022|Borgoña|Pinot Noir|1351€|Nariz: morango flores. Boca: delicado cremoso. Amoureuses top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Fourrier Gevrey 1C Combe Aux Moines 22-|2022|Borgoña|Pinot Noir|436€|Nariz: cassis ervas. Boca: puro mineral. Combe top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Fourrier Gevrey 1C les Perrieres TO 22-|2022|Borgoña|Pinot Noir|410€|Nariz: frutas vermelhas mineral. Boca: cremoso elegante. Perrieres top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Fourrier Latricieres Chambertin 22-|2022|Borgoña|Pinot Noir|1240€|Nariz: morango mineral. Boca: denso puro. Latricieres top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Fourrier Vosne 1C Malconsorts 22-|2022|Borgoña|Pinot Noir|1239€|Nariz: cassis mineral. Boca: cremoso taninos firmes. Malconsorts top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Grivot Bourgogne TO 22-|2022|Borgoña|Pinot Noir|130€|Nariz: morango ervas. Boca: leve tenso. Bourgogne top. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Grivot Chambolle Comb Orveau 22--|2022|Borgoña|Pinot Noir|273€|Nariz: frutas vermelhas mineral. Boca: puro denso. Comb Orveau top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Grivot Clos de Vougeot 22-|2022|Borgoña|Pinot Noir|911€|Nariz: cassis ervas. Boca: denso cremoso. Clos top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Grivot Echezeaux 22-|2022|Borgoña|Pinot Noir|1137€|Nariz: frutas vermelhas mineral. Boca: cremoso taninos firmes. Echezeaux top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Grivot Richebourg 22-|2022|Borgoña|Pinot Noir|4185€|Nariz: cassis mineral. Boca: denso elegante eterno. Richebourg top. Beba 2028-2050.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Grivot Vosne 1C Aux Brulees 22-|2022|Borgoña|Pinot Noir|648€|Nariz: morango ervas. Boca: cremoso puro. Aux Brulees top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Grivot Vosne Les Suchots 22-|2022|Borgoña|Pinot Noir|794€|Nariz: cassis mineral. Boca: denso cremoso. Suchots top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Henri Boillot Volnay Fremiets 20-|2020|Borgoña|Pinot Noir|151€|Nariz: morango mineral. Boca: cremoso elegante. Fremiets top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Hubert Lignier Chambolle-Musigny 1C Les Baudes 19-|2019|Borgoña|Pinot Noir|512€|Nariz: frutas vermelhas ervas. Boca: puro denso. Baudes top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Hubert Lignier Clos De La Roche GC 19-|2019|Borgoña|Pinot Noir|1113€|Nariz: morango mineral. Boca: denso cremoso. Clos top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Hudelot Noellat Bourgogne Rouge 22-|2022|Borgoña|Pinot Noir|104€|Nariz: morango ervas. Boca: leve tenso. Bourgogne top. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Hudelot Noellat Chambolle-Musigny 22-|2022|Borgoña|Pinot Noir|242€|Nariz: frutas vermelhas flores. Boca: cremoso elegante. Chambolle top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Jadot Bonnes Mares 22-|2022|Borgoña|Pinot Noir|1390€|Nariz: morango mineral. Boca: denso puro. Bonnes Mares top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Jadot Chambertin Clos de Beze 22-|2022|Borgoña|Pinot Noir|1557€|Nariz: frutas vermelhas ervas. Boca: cremoso taninos firmes. Clos de Beze top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Jadot Clos Saint Denis 22-|2022|Borgoña|Pinot Noir|1028€|Nariz: cassis mineral. Boca: denso elegante. Clos top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Jadot Echezeaux 22-|2022|Borgoña|Pinot Noir|788€|Nariz: morango ervas. Boca: cremoso puro. Echezeaux top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Jadot Volnay 1C Clos de la Barre 21-|2021|Borgoña|Pinot Noir|173€|Nariz: frutas vermelhas mineral. Boca: cremoso elegante. Clos top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Jadot Volnay 1C Clos de la Barre 22-|2022|Borgoña|Pinot Noir|158€|Nariz: morango ervas. Boca: puro tenso. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
JJ Confuron Bour Jeunesse TO 23-|2023|Borgoña|Pinot Noir|66€|Nariz: morango mineral. Boca: leve fresco. Jeunesse top. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
JJ Confuron Clos Vougeot 22-|2022|Borgoña|Pinot Noir|430€|Nariz: frutas vermelhas ervas. Boca: denso cremoso. Clos top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
JJ Confuron Clos Vougeot 23-|2023|Borgoña|Pinot Noir|470€|Nariz: cassis mineral. Boca: tenso elegante. Top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
JJ Confuron NSG Fleurieres 23-|2023|Borgoña|Pinot Noir|125€|Nariz: morango flores. Boca: puro mineral. Fleurieres top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
JJ Confuron Romanee St Vivant 23-|2023|Borgoña|Pinot Noir|1465€|Nariz: cassis ervas. Boca: denso cremoso. RSV top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Lafarge Volnay Vend Select 22-|2022|Borgoña|Pinot Noir|163€|Nariz: morango mineral. Boca: cremoso elegante. Vend Select top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Le Moine Bonnes Mares 22-|2022|Borgoña|Pinot Noir|1200€|Nariz: frutas vermelhas mineral. Boca: denso puro. Bonnes Mares top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Le Moine Chambolle 1C Baudes 22-|2022|Borgoña|Pinot Noir|594€|Nariz: morango ervas. Boca: cremoso tenso. Baudes top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Le Moine Chambolle Hauts Doix 22-|2022|Borgoña|Pinot Noir|510€|Nariz: frutas vermelhas mineral. Boca: puro denso. Hauts Doix top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Le Moine Charmes Chambert GC 22-|2022|Borgoña|Pinot Noir|792€|Nariz: cassis ervas. Boca: cremoso taninos firmes. Charmes top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Le Moine Latricieres Chamber 22-|2022|Borgoña|Pinot Noir|792€|Nariz: morango mineral. Boca: denso elegante. Latricieres top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Lepetit Pommard 23-|2023|Borgoña|Pinot Noir|168€|Nariz: frutas vermelhas ervas. Boca: fresco mineral. Pommard top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Leroy Savigny Les Beaune 2018-|2018|Borgoña|Pinot Noir|1320€|Nariz: morango mineral maduro. Boca: cremoso complexo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Liger-Belair Richebourg 21-|2021|Borgoña|Pinot Noir|2205€|Nariz: cassis mineral. Boca: denso cremoso. Richebourg top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Lignier Charmes Chambertin 21-|2021|Borgoña|Pinot Noir|610€|Nariz: frutas vermelhas ervas. Boca: cremoso taninos firmes. Charmes top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Lignier Clos Vougeot 21-|2021|Borgoña|Pinot Noir|630€|Nariz: cassis mineral. Boca: denso elegante. Clos top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Lignier Gevrey Regnard 22 -|2022|Borgoña|Pinot Noir|159€|Nariz: morango ervas. Boca: puro mineral. Regnard top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
M Haisma Bourgogne TO 23-|2023|Borgoña|Pinot Noir|74€|Nariz: morango ervas. Boca: leve tenso. Bourgogne top. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
M Haisma Chambolle Musigny 23-|2023|Borgoña|Pinot Noir|216€|Nariz: frutas vermelhas flores. Boca: cremoso elegante. Chambolle top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
M Haisma Pommard 1C Arvelets 23-|2023|Borgoña|Pinot Noir|185€|Nariz: morango mineral. Boca: denso puro. Arvelets top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Magnien Corton Lolieres 22-|2022|Borgoña|Pinot Noir|220€|Nariz: frutas vermelhas ervas. Boca: cremoso taninos firmes. Corton top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Magnien Cote de Nuits Thurot 22-|2022|Borgoña|Pinot Noir|85€|Nariz: morango mineral. Boca: leve tenso. Côte top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Magnien Gevrey 1C Estournelles 20-|2020|Borgoña|Pinot Noir|220€|Nariz: cassis ervas. Boca: denso elegante. Estournelles top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Magnien Gevrey 1C Estournelles St Jacques 21-|2021|Borgoña|Pinot Noir|216€|Nariz: frutas vermelhas mineral. Boca: cremoso puro. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Magnien Gevrey 1C Estournelles St Jacques 22-|2022|Borgoña|Pinot Noir|204€|Nariz: morango ervas. Boca: tenso elegante. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Magnien Gevrey 1C Lavaux St Jacques 22-|2022|Borgoña|Pinot Noir|220€|Nariz: cassis mineral. Boca: denso cremoso. Lavaux top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Magnien Gevrey Chambertin 23-|2023|Borgoña|Pinot Noir|125€|Nariz: morango flores. Boca: fresco puro. Gevrey top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Magnien Ruchottes Chambertin 20-|2020|Borgoña|Pinot Noir|537€|Nariz: frutas vermelhas mineral. Boca: denso elegante. Ruchottes top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Magnien Ruchottes Chambertin 23-|2023|Borgoña|Pinot Noir|515€|Nariz: cassis ervas. Boca: cremoso taninos firmes. Top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Maison Leroy Bourgogne Rouge 18-|2018|Borgoña|Pinot Noir|560€|Nariz: morango mineral maduro. Boca: cremoso complexo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Maison Leroy Chambolle-Musigny 17-|2017|Borgoña|Pinot Noir|5395€|Nariz: frutas vermelhas ervas. Boca: denso elegante. Chambolle top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Maison Leroy Meursault 1C Les Fremiers 17-|2017|Borgoña|Chardonnay|4000€|Nariz: limão maçã mineral. Boca: cremoso tenso. Fremiers top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Maison Leroy Nuits-Saint-Georges 17-|2017|Borgoña|Pinot Noir|4016€|Nariz: cassis ervas. Boca: denso cremoso. NSG top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Meo Camuzet Bourgogne Hemisphere Sud 20-|2020|Borgoña|Pinot Noir|90€|Nariz: morango ervas. Boca: leve tenso. Sud top. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Meo Camuzet Chambolle 1C Feusselottes 21-|2021|Borgoña|Pinot Noir|315€|Nariz: frutas vermelhas mineral. Boca: cremoso puro. Feusselottes top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Meo Camuzet Clos Vougeot 19-|2019|Borgoña|Pinot Noir|570€|Nariz: cassis ervas. Boca: denso elegante. Clos top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Meo Camuzet Clos Vougeot 22-|2022|Borgoña|Pinot Noir|540€|Nariz: morango mineral. Boca: cremoso taninos firmes. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Meo Camuzet Hemisphere Nord 22-|2022|Borgoña|Pinot Noir|90€|Nariz: frutas vermelhas ervas. Boca: fresco puro. Nord top. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Meo Camuzet NSG 1C Aux Murgers 21-|2021|Borgoña|Pinot Noir|363€|Nariz: cassis mineral. Boca: denso cremoso. Aux Murgers top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Meo Camuzet NSG Aux Murgers 21-|2022|Borgoña|Pinot Noir|330€|Nariz: frutas vermelhas ervas. Boca: cremoso elegante. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Meo Camuzet NSG Aux Murgers 22-|2021|Borgoña|Pinot Noir|330€|Nariz: morango mineral. Boca: puro tenso. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Meo Camuzet Richebourg 21-|2021|Borgoña|Pinot Noir|2350€|Nariz: cassis ervas. Boca: denso cremoso. Richebourg top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Meo Camuzet Richebourg 22-|2022|Borgoña|Pinot Noir|2550€|Nariz: frutas vermelhas mineral. Boca: cremoso taninos firmes. Top. Beba 2028-2050.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Meo Camuzet Vosne Rom 1C Beaux Monts 20-|2020|Borgoña|Pinot Noir|394€|Nariz: cassis mineral. Boca: denso elegante. Beaux Monts top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Meo Camuzet VR Beaux Monts 21-|2021|Borgoña|Pinot Noir|388€|Nariz: morango ervas. Boca: cremoso puro. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Meo-Camuzet Chambolle Mus Feusselottes 19-|2019|Borgoña|Pinot Noir|310€|Nariz: frutas vermelhas mineral. Boca: denso cremoso. Feusselottes top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Meo-Camuzet Clos Vougeot 15-|2015|Borgoña|Pinot Noir|756€|Nariz: cassis ervas maduro. Boca: denso complexo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Meo-Camuzet Les Perrieres 21-|2021|Borgoña|Pinot Noir|543€|Nariz: morango mineral. Boca: cremoso tenso. Perrieres top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Meo-Camuzet Vosne-R Aux Brulees 21-|2021|Borgoña|Pinot Noir|990€|Nariz: cassis ervas. Boca: denso cremoso. Aux Brulees top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg Duroche Gev Combe Moines 22-|2022|Borgoña|Pinot Noir|Magnum (150cl)|1001€|Nariz: frutas vermelhas mineral. Boca: denso puro. Magnum top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg Michel Noellat Echezeaux 16-|2016|Borgoña|Pinot Noir|Magnum (150cl)|1870€|Nariz: cassis mineral maduro. Boca: cremoso complexo. Magnum top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Michel Noellat Chambolle Musigny 22-|2022|Borgoña|Pinot Noir|210€|Nariz: morango flores. Boca: cremoso elegante. Chambolle top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
