Mg Ch Margaux 09-|2009|Burdeos|Cabernet Sauvignon|5950€|Nariz: cassis maduro, violetas, tabaco e mineral. Boca: denso cremoso eterno, taninos sedosos e polidos, final infinito. Margaux Magnum ícone. Beba agora-2045+. Harmonização: carne vermelha premium ou caça.|WA: 99 | JS: 98 | Peñín: N/A
Luisin Barbaresco Rabaja 20-|2020|Piamonte|Nebbiolo|124€|Nariz: rosas, cassis e ervas. Boca: fresco denso. Rabaja top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 94 | JS: 93 | Peñín: N/A
Luisin Barbera Maggiur 22-|2022|Piamonte|Barbera|56€|Nariz: frutas vermelhas, ervas. Boca: acidez viva. Maggiur top. Beba agora-2028+. Harmonização: queijos.|WA: 91 | JS: 90 | Peñín: N/A
Luisin Langhe Nebbiolo 22-|2022|Piamonte|Nebbiolo|64€|Nariz: cassis, rosas. Boca: vibrante fresco. Langhe top. Beba agora-2030+. Harmonização: carnes leves.|WA: 92 | JS: 91 | Peñín: N/A
Mascarello Barolo S Stefano 20-|2020|Piamonte|Nebbiolo|198€|Nariz: cassis, ervas e mineral. Boca: denso cremoso. S Stefano top. Beba agora-2040+. Harmonização: carne vermelha.|WA: 94 | JS: 93 | Peñín: N/A
Mascarello Barolo Villero 20-|2020|Piamonte|Nebbiolo|198€|Nariz: cassis mineral. Boca: cremoso taninos firmes. Villero top. Beba agora-2040+. Harmonização: carne premium.|WA: 94 | JS: 93 | Peñín: N/A
Massolino Barbaresco Albesani 21-|2021|Piamonte|Nebbiolo|168€|Nariz: rosas, cassis e ervas. Boca: fresco denso. Albesani top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 94 | JS: 93 | Peñín: N/A
Massolino Barolo Parafada 20-|2020|Piamonte|Nebbiolo|181€|Nariz: cassis, rosas. Boca: cremoso taninos elegantes. Parafada top. Beba agora-2040+. Harmonização: carne vermelha.|WA: 94 | JS: 93 | Peñín: N/A
Massolino Barolo Vigna Rionda Rva 17-|2017|Piamonte|Nebbiolo|365€|Nariz: cassis mineral maduro. Boca: denso cremoso. Vigna Rionda top. Beba agora-2040+. Harmonização: luxo máximo.|WA: 96 | JS: 95 | Peñín: N/A
Mg Roagna Barbaresco Albesani 2018-|2018|Piamonte|Nebbiolo|592€|Nariz: rosas, cassis e mineral. Boca: denso cremoso. Magnum top. Beba agora-2040+. Harmonização: carne vermelha.|WA: 95 | JS: 94 | Peñín: N/A
Mg Roagna Barbaresco Faset 18-|2018|Piamonte|Nebbiolo|592€|Nariz: cassis, ervas. Boca: cremoso taninos firmes. Magnum top. Beba agora-2040+. Harmonização: carne premium.|WA: 95 | JS: 94 | Peñín: N/A
Mg Roagna Barbaresco Gallina 18-|2018|Piamonte|Nebbiolo|592€|Nariz: rosas, cassis mineral. Boca: denso puro. Magnum top. Beba agora-2040+. Harmonização: luxo máximo.|WA: 96 | JS: 95 | Peñín: N/A
Mg Roagna Barolo Pira VV 2018-|2018|Piamonte|Nebbiolo|1311€|Nariz: cassis, rosas e alcatrão. Boca: denso eterno. Magnum top. Beba agora-2045+. Harmonização: carne vermelha.|WA: 96 | JS: 95 | Peñín: N/A
Mg Roagna Barolo Roche Castiglione18-|2018|Piamonte|Nebbiolo|592€|Nariz: cassis mineral. Boca: cremoso taninos refinados. Magnum top. Beba agora-2040+. Harmonização: carne premium.|WA: 95 | JS: 94 | Peñín: N/A
P Scavino Barolo Rva Novantesimo 11-|2011|Piamonte|Nebbiolo|504€|Nariz: cassis, rosas e mineral. Boca: denso cremoso eterno. Rva top. Beba agora.|WA: 96 | JS: 95 | Peñín: N/A
Paolo Scavino Barolo Rv Rocche Annunz 15-|2015|Piamonte|Nebbiolo|425€|Nariz: cassis maduro, ervas. Boca: cremoso taninos firmes. Rocche top. Beba agora-2040+. Harmonização: carne vermelha.|WA: 96 | JS: 95 | Peñín: N/A
Pelissero Vanotu 16-|2016|Piamonte|Nebbiolo|220€|Nariz: cassis, rosas e especiarias. Boca: denso cremoso. Vanotu top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 94 | JS: 93 | Peñín: N/A
Roagna Barb Crichet Paje 16-|2016|Piamonte|Nebbiolo|1837€|Nariz: rosas, cassis e mineral. Boca: denso eterno. Crichet Paje ícone. Beba agora-2040+. Harmonização: luxo máximo.|WA: 97 | JS: 96 | Peñín: N/A
Roagna Barbaresco Gallina 18 5L-|2018|Piamonte|Nebbiolo|2098€|Nariz: cassis, ervas e mineral. Boca: denso cremoso. Jeroboam top. Beba agora-2040+. Harmonização: carne vermelha.|WA: 96 | JS: 95 | Peñín: N/A
Roagna Barolo Pira 06 5L-|2006|Piamonte|Nebbiolo|9403€|Nariz: cassis maduro, rosas. Boca: denso eterno. Jeroboam ícone. Beba agora.|WA: 96 | JS: 95 | Peñín: N/A
Scavino Barolo 20-|2020|Piamonte|Nebbiolo|107€|Nariz: cassis, rosas. Boca: fresco denso. Barolo top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 93 | JS: 92 | Peñín: N/A
Scavino Barolo Bric Fiasc 20-|2020|Piamonte|Nebbiolo|240€|Nariz: cassis mineral. Boca: cremoso taninos elegantes. Bric Fiasc top. Beba agora-2040+. Harmonização: carne premium.|WA: 95 | JS: 94 | Peñín: N/A
Scavino Barolo Monvigliero 20-|2020|Piamonte|Nebbiolo|192€|Nariz: rosas, cassis e ervas. Boca: denso puro. Monvigliero top. Beba agora-2040+. Harmonização: luxo máximo.|WA: 95 | JS: 94 | Peñín: N/A
Trediberri B Rocche Annunziata 20-|2021|Piamonte|Nebbiolo|103€|Nariz: cassis, rosas. Boca: vibrante fresco. Rocche top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 93 | JS: 92 | Peñín: N/A
Trediberri Barolo Berri 21-|2021|Piamonte|Nebbiolo|84€|Nariz: cassis, ervas. Boca: fresco denso. Berri top. Beba agora-2035+. Harmonização: carnes leves.|WA: 92 | JS: 91 | Peñín: N/A
Trediberri Langhe Nebbiolo 24-|2024|Piamonte|Nebbiolo|40€|Nariz: cassis fresco. Boca: vibrante mineral. Jovem top. Beba agora-2028+. Harmonização: aperitivo.|WA: N/A | JS: N/A | Peñín: N/A
Vaira Aurelj Contracorrente 21-|2021|Piamonte|Riesling|85€|Nariz: cítricos, ervas e mineral. Boca: cremoso equilibrado. Contracorrente top. Beba agora-2030+. Harmonização: peixe ou frutos do mar.|WA: 92 | JS: 91 | Peñín: N/A
Vietti Barbera d'Alba Scarrone 21-|2021|Piamonte|Barbera|107€|Nariz: frutas vermelhas, ervas. Boca: acidez viva. Scarrone top. Beba agora-2030+. Harmonização: queijos.|WA: 92 | JS: 91 | Peñín: N/A
Vietti Barolo Brunate 20-|2020|Piamonte|Nebbiolo|471€|Nariz: cassis, rosas e mineral. Boca: denso cremoso. Brunate top. Beba agora-2040+. Harmonização: carne vermelha.|WA: 95 | JS: 94 | Peñín: N/A
Firriato Soria 22-|2022|Sicilia|Nero d'Avola|35€|Nariz: frutas escuras, ervas e especiarias. Boca: fresco denso. Soria top. Beba agora-2028+. Harmonização: carnes grelhadas.|WA: 91 | JS: 90 | Peñín: N/A
Occhipinti Il Frapatto 23-|2023|Sicilia|Frappato|70€|Nariz: morango, flores e mineral. Boca: leve puro vibrante. Frapatto top. Jovem top. Beba agora-2028+. Harmonização: aperitivo.|WA: 92 | JS: 91 | Peñín: N/A
Pietro Caciorgna Etna Rosso Ciauria 22-|2022|Itália (Sicília, Etna)|Nerello Mascalese|34€|Nariz: cereja, ervas e mineral vulcânico. Boca: fresco denso. Ciauria top. Beba agora-2030+. Harmonização: carnes leves.|WA: 91 | JS: 90 | Peñín: N/A
Terre N Calderara Sottana TO 22-|2022|Sicilia|Nerello Mascalese|112€|Nariz: cassis, ervas e mineral. Boca: denso cremoso. Calderara top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 94 | JS: 93 | Peñín: N/A
Terre Nere Bellacolonna 22-|2022|Sicilia|Nerello Mascalese|79€|Nariz: frutas vermelhas, mineral vulcânico. Boca: fresco puro. Bellacolonna top. Beba agora-2030+. Harmonização: peixe ou aves.|WA: 93 | JS: 92 | Peñín: N/A
Terre Nere Moganazzi 22-|2022|Itália (Sicília, Etna)|Nerello Mascalese|90€|Nariz: cassis, ervas e mineral. Boca: denso elegante. Moganazzi top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 94 | JS: 93 | Peñín: N/A
Terre Nere Santo Espirito TO 23-|2023|Sicilia|Nerello Mascalese|89€|Nariz: cereja, ervas. Boca: vibrante mineral. Santo Espirito top. Jovem top. Beba agora-2028+. Harmonização: carnes leves.|WA: N/A | JS: N/A | Peñín: N/A
Antinori Solaia 17-|2017|Toscana|Cabernet Sauvignon|890€|Nariz: cassis, ervas e mineral. Boca: denso cremoso eterno. Solaia top. Beba agora-2040+. Harmonização: carne vermelha.|WA: 96 | JS: 95 | Peñín: N/A
Cerbaiona Brunello Di Montalcino 19-|2019|Toscana|Sangiovese|367€|Nariz: cereja, ervas e mineral. Boca: denso cremoso, taninos refinados. Cerbaiona top. Beba agora-2040+. Harmonização: carne vermelha.|WA: 96 | JS: 95 | Peñín: 95
Cerbaiona Grammatica Rosso Tosc 20-|2020|Toscana|Sangiovese|118€|Nariz: frutas vermelhas, ervas. Boca: fresco denso. Grammatica top. Beba agora-2030+. Harmonização: carnes leves.|WA: 92 | JS: 91 | Peñín: 91
Col D'Orcia Rosso Montalcino 23-|2023|Toscana|Sangiovese|32€|Nariz: cereja, ervas. Boca: vibrante fresco. Rosso top. Jovem top. Beba agora-2028+. Harmonização: aperitivo.|WA: N/A | JS: N/A | Peñín: N/A
Gianni Brunelli Rosso Montalcino 23-|2023|Toscana|Sangiovese|83€|Nariz: frutas vermelhas, mineral. Boca: fresco puro. Rosso top. Jovem top. Beba agora-2028+. Harmonização: carnes leves.|WA: N/A | JS: N/A | Peñín: N/A
il Marroneto Brunello 20-|2020|Toscana|Sangiovese|216€|Nariz: cereja, ervas e mineral. Boca: denso cremoso. Brunello top. Beba agora-2040+. Harmonização: carne vermelha.|WA: 95 | JS: 94 | Peñín: 94
Isole Olena Chianti Classico 22-|2022|Toscana|Sangiovese|55€|Nariz: cereja, ervas e mineral. Boca: fresco equilibrado. Chianti top. Beba agora-2030+. Harmonização: carnes leves.|WA: 92 | JS: 91 | Peñín: 91
Le Chiuse Rosso Montalcino 23-|2023|Toscana|Sangiovese|160€|Nariz: frutas vermelhas frescas. Boca: vibrante denso. Rosso top. Jovem top. Beba agora-2028+. Harmonização: aperitivo.|WA: N/A | JS: N/A | Peñín: N/A
Le Ragnaie Lume Spento 20-|2020|Toscana|Sangiovese Grosso|265€|Nariz: cereja, ervas e mineral. Boca: denso cremoso. Lume Spento top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 95 | JS: 94 | Peñín: 94
Massetino 19-|2019|Toscana|Cabernet Sauvignon|800€|Nariz: cassis, ervas e mineral. Boca: denso cremoso. Massetino top. Beba agora-2040+. Harmonização: carne vermelha.|WA: 96 | JS: 95 | Peñín: N/A
Massetino 22-|2022|Toscana|Cabernet Sauvignon|589€|Nariz: cassis puro. Boca: tenso vibrante. Jovem top. Beba 2027-2040+. Harmonização: carne premium.|WA: N/A | JS: N/A | Peñín: N/A
Masseto 15-|2015|Toscana|Cabernet Sauvignon|2500€|Nariz: cassis mineral, ervas. Boca: denso eterno. Masseto ícone. Beba agora-2045+. Harmonização: luxo máximo.|WA: 98 | JS: 97 | Peñín: N/A
Masseto 19-|2019|Toscana|Cabernet Sauvignon|1808€|Nariz: cassis, violeta e mineral. Boca: cremoso taninos sedosos. Masseto ícone. Beba agora-2045+. Harmonização: carne vermelha.|WA: 98 | JS: 97 | Peñín: N/A
Mg Ornellaia 18-|2018|Toscana|Cabernet Sauvignon|1044€|Nariz: cassis, ervas e mineral. Boca: denso cremoso. Magnum top. Beba agora-2040+. Harmonização: carne premium.|WA: 96 | JS: 95 | Peñín: N/A
Mg Solaia 20-|2020|Toscana|Cabernet Sauvignon|1550€|Nariz: cassis mineral. Boca: denso puro eterno. Magnum top. Beba agora-2045+. Harmonização: luxo máximo.|WA: 97 | JS: 96 | Peñín: N/A
Monteraponi Bragantino 19-|2019|Toscana|Sangiovese|310€|Nariz: cereja, ervas e mineral. Boca: denso cremoso. Bragantino top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 94 | JS: 93 | Peñín: 93
Monteraponi Chianti Classico 21-|2021|Toscana|Sangiovese|48€|Nariz: frutas vermelhas, ervas. Boca: fresco equilibrado. Chianti top. Beba agora-2030+. Harmonização: carnes leves.|WA: 92 | JS: 91 | Peñín: 91
Montevertine 19-|2019|Toscana|Sangiovese|181€|Nariz: cereja, ervas e mineral. Boca: denso cremoso. Montevertine top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 94 | JS: 93 | Peñín: 93
Ornellaia 19-|2019|Toscana|Cabernet Sauvignon|815€|Nariz: cassis, ervas e mineral. Boca: denso cremoso. Ornellaia top. Beba agora-2040+. Harmonização: carne vermelha.|WA: 96 | JS: 95 | Peñín: N/A
Ornellaia 20-|2020|Toscana|Cabernet Sauvignon|496€|Nariz: cassis puro. Boca: cremoso taninos firmes. Ornellaia top. Beba agora-2040+. Harmonização: carne premium.|WA: 96 | JS: 95 | Peñín: N/A
Ornellaia 21-|2021|Toscana|Cabernet Sauvignon|481€|Nariz: cassis, ervas. Boca: denso vibrante. Jovem top. Beba 2027-2045+. Harmonização: assados.|WA: N/A | JS: N/A | Peñín: N/A
Ragnaie B M Casanovina Montosoli 20-|2020|Toscana|Sangiovese Grosso|265€|Nariz: cereja, ervas e mineral. Boca: denso cremoso. Montosoli top. Beba agora-2040+. Harmonização: carne vermelha.|WA: 96 | JS: 95 | Peñín: 95
Ragnaie Brunello Montalcino 20-|2020|Toscana|Sangiovese|180€|Nariz: frutas vermelhas, mineral. Boca: fresco denso. Brunello top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 95 | JS: 94 | Peñín: 94
Ragnaie Rosso Di Montalcino 21-|2021|Toscana|Sangiovese|63€|Nariz: cereja fresca. Boca: vibrante equilibrado. Rosso top. Beba agora-2028+. Harmonização: carnes leves.|WA: 92 | JS: 91 | Peñín: 91
Sassicaia 06-|2006|Toscana|Cabernet Sauvignon|893€|Nariz: cassis maduro, ervas. Boca: denso cremoso. Sassicaia top. Beba agora.|WA: 96 | JS: 95 | Peñín: N/A
Sassicaia 16-|2016|Toscana|Cabernet Sauvignon|1300€|Nariz: cassis mineral. Boca: denso eterno. Sassicaia top. Beba agora-2045+. Harmonização: luxo máximo.|WA: 98 | JS: 97 | Peñín: N/A
Sassicaia 17-|2017|Toscana|Cabernet Sauvignon|766€|Nariz: cassis, ervas. Boca: cremoso taninos firmes. Sassicaia top. Beba agora-2040+. Harmonização: carne vermelha.|WA: 96 | JS: 95 | Peñín: N/A
Sassicaia 18-|2018|Toscana|Cabernet Sauvignon|1650€|Nariz: cassis puro. Boca: denso cremoso. Sassicaia top. Beba agora-2045+. Harmonização: carne premium.|WA: 97 | JS: 96 | Peñín: N/A
Sassicaia 21-|2021|Toscana|Cabernet Sauvignon|735€|Nariz: cassis, violetas. Boca: tenso vibrante. Jovem top. Beba 2028-2045+. Harmonização: carne vermelha.|WA: N/A | JS: N/A | Peñín: N/A
Solaia 18-|2018|Toscana|Cabernet Sauvignon|1045€|Nariz: cassis mineral. Boca: denso cremoso eterno. Solaia top. Beba agora-2045+. Harmonização: luxo máximo.|WA: 97 | JS: 96 | Peñín: N/A
Solaia 19-|2019|Toscana|Cabernet Sauvignon|775€|Nariz: cassis, ervas. Boca: cremoso taninos firmes. Solaia top. Beba agora-2045+. Harmonização: carne premium.|WA: 97 | JS: 96 | Peñín: N/A
Solaia 21-|2021|Toscana|Cabernet Sauvignon|749€|Nariz: cassis puro. Boca: denso elegante. Jovem top. Beba 2027-2045+. Harmonização: carne vermelha.|WA: N/A | JS: N/A | Peñín: N/A
Solaia Antinori 20-|2020|Toscana|Cabernet Sauvignon|847€|Nariz: cassis, ervas e mineral. Boca: denso cremoso. Solaia top. Beba agora-2045+. Harmonização: carne vermelha.|WA: 97 | JS: 96 | Peñín: N/A
Stella Brunello Bacia 19-|2019|Toscana|Sangiovese|495€|Nariz: cereja, ervas e mineral. Boca: denso cremoso. Bacia top. Beba agora-2040+. Harmonização: carne vermelha.|WA: 95 | JS: 94 | Peñín: 94
Tenuta San Guido Guidalberto 23-|2023|Toscana|Cabernet Sauvignon|112€|Nariz: cassis fresco. Boca: vibrante equilibrado. Guidalberto top. Jovem top. Beba agora-2028+. Harmonização: carnes leves.|WA: N/A | JS: N/A | Peñín: N/A
Tignanello 22-|2022|Toscana|Sangiovese|295€|Nariz: cassis, ervas e mineral. Boca: denso cremoso. Tignanello top. Jovem top. Beba 2027-2040+. Harmonização: carne vermelha.|WA: N/A | JS: N/A | Peñín: N/A
Allegrini Valpolicella Sup 23-|2023|Véneto|Corvina|40€|Nariz: cereja, ervas. Boca: fresco equilibrado. Valpolicella top. Jovem top. Beba agora-2028+. Harmonização: carnes leves.|WA: 91 | JS: 90 | Peñín: N/A
Dal Forno Amarone Valpolicella 16-|2016|Véneto|Corvina|550€|Nariz: frutas escuras maduras, especiarias. Boca: denso cremoso eterno. Amarone top. Beba agora-2040+. Harmonização: carne vermelha.|WA: 96 | JS: 95 | Peñín: N/A
Dal Forno Romano Amarone Valpolicella 18-|2018|Véneto|Corvina|595€|Nariz: cassis, ervas e mineral. Boca: denso puro. Amarone top. Beba agora-2040+. Harmonização: luxo máximo.|WA: 97 | JS: 96 | Peñín: N/A
Dal Forno Romano Valpolicella Superio 18-|2018|Véneto|Corvina|230€|Nariz: frutas vermelhas, especiarias. Boca: cremoso taninos firmes. Superiore top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 94 | JS: 93 | Peñín: N/A
Mg Dal Forno Amarone Valpolicella 13-|2013|Véneto|Corvina|1591€|Nariz: frutas maduras, ervas. Boca: denso cremoso eterno. Magnum top. Beba agora.|WA: 97 | JS: 96 | Peñín: N/A
Mg Quintarelli Valpolicella Sup 16-|2016|Véneto|Corvina|512€|Nariz: cereja, ervas e especiarias. Boca: denso cremoso. Magnum top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 95 | JS: 94 | Peñín: N/A
Ata Rangi Pinot Noir 21-|2021|Isla Norte|Pinot Noir|213€|Nariz: morango, ervas e mineral. Boca: elegante taninos finos. Ata Rangi top. Beba agora-2030+. Harmonização: peixe ou aves.|WA: 95 | JS: 94 | Peñín: N/A
Escarpment Pahi TO 20-|2020|Isla Norte|Pinot Noir|104€|Nariz: frutas vermelhas, mineral. Boca: fresco denso. Pahi top. Beba agora-2030+. Harmonização: carnes leves.|WA: 93 | JS: 92 | Peñín: N/A
Savage Follow the Line 23-|2023|Isla Norte|Chenin Blanc|83€|Nariz: cítricos, ervas e mineral. Boca: cremoso vibrante. Follow the Line top. Jovem top. Beba agora-2028+. Harmonização: peixe ou frutos do mar.|WA: N/A | JS: N/A | Peñín: N/A
Pera Manca Bl 15-|2015|Alentejo|Aragonez|625€|Nariz: frutas escuras maduras, ervas. Boca: denso cremoso eterno. Pera Manca top. Beba agora.|WA: 96 | JS: 95 | Peñín: N/A
Antonio Madeira Vinhas Velhas 20 TO-|2020|Centro|Baga|44€|Nariz: cereja, ervas e mineral. Boca: fresco denso. Vinhas Velhas top. Beba agora-2030+. Harmonização: carne vermelha.|WA: 92 | JS: 91 | Peñín: N/A
Filipa Pato & William Wouters DNMC Baga 23-|2023|Centro|Baga|35€|Nariz: frutas vermelhas frescas. Boca: vibrante puro. DNMC top. Jovem top. Beba agora-2028+. Harmonização: aperitivo.|WA: N/A | JS: N/A | Peñín: N/A
Niepoort Bairrada Poeirinho 22-|2022|Centro|Baga|75€|Nariz: cereja, ervas e mineral. Boca: denso cremoso. Poeirinho top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 93 | JS: 92 | Peñín: N/A
Casa Ferreirinha Douro Rva Especial 14-|2014|Douro|Touriga Nacional|500€|Nariz: frutas escuras, ervas e especiarias. Boca: denso cremoso eterno. Rva Especial top. Beba agora-2035+. Harmonização: carne premium.|WA: 95 | JS: 94 | Peñín: N/A
Monte Meao Vinha da Cantina 22-|2022|Douro|Touriga Nacional|35€|Nariz: cassis, ervas. Boca: fresco denso. Vinha da Cantina top. Beba agora-2030+. Harmonização: carnes leves.|WA: 91 | JS: 90 | Peñín: N/A
Monte Meao Vinha dos Novo 22-|2022|Douro|Touriga Nacional|35€|Nariz: frutas vermelhas, mineral. Boca: vibrante equilibrado. Vinha dos Novo top. Beba agora-2030+. Harmonização: aperitivo.|WA: 91 | JS: 90 | Peñín: N/A
Niepoort Batuta 21-|2021|Douro|Touriga Nacional|155€|Nariz: cassis, ervas e mineral. Boca: denso cremoso. Batuta top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 95 | JS: 94 | Peñín: N/A
Niepoort Douro Charme 22-|2022|Douro|Touriga Nacional|160€|Nariz: frutas vermelhas, ervas. Boca: fresco denso. Charme top. Beba agora-2030+. Harmonização: carnes leves.|WA: 94 | JS: 93 | Peñín: N/A
Quinta do Vale Meao Douro 22-|2022|Douro|Touriga Nacional|233€|Nariz: cassis mineral. Boca: denso puro. Vale Meao top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 94 | JS: 93 | Peñín: N/A
Xisto Cru-|2021|Douro|Touriga Nacional|75€|Nariz: frutas escuras, ervas. Boca: cremoso taninos suaves. Xisto Cru top. Beba agora-2030+. Harmonização: carne vermelha.|WA: 92 | JS: 91 | Peñín: N/A
Lothian of Elgin Pinot Noir 21-|2021|Cape South Coast|Pinot Noir|67€|Nariz: morango, ervas e mineral. Boca: elegante taninos finos. Lothian top. Beba agora-2030+. Harmonização: peixe ou aves.|WA: 92 | JS: 91 | Peñín: N/A
Paul Cluver Spioenkop 1900 Pinotage 20-|2020|Cape South Coast|Pinotage|52€|Nariz: frutas escuras, especiarias. Boca: denso cremoso. Spioenkop top. Beba agora-2030+. Harmonização: carne vermelha.|WA: 91 | JS: 90 | Peñín: N/A
R Kershaw Smuggler´s Boot 23-|2023|Cape South Coast|Syrah|45€|Nariz: cassis, pimenta. Boca: fresco denso. Smuggler´s Boot top. Jovem top. Beba agora-2028+. Harmonização: carnes grelhadas.|WA: N/A | JS: N/A | Peñín: N/A
Shannon Mount Bulet Merlot 20-|2020|Central Coast|Merlot|148€|Nariz: frutas escuras, ervas. Boca: cremoso taninos suaves. Mount Bulet top. Beba agora-2030+. Harmonização: carne vermelha.|WA: 93 | JS: 92 | Peñín: N/A
Rijk's Pinotage Touch 21-|2021|Coastal Region|Pinotage|44€|Nariz: frutas vermelhas, especiarias. Boca: fresco equilibrado. Touch top. Beba agora-2028+. Harmonização: carnes leves.|WA: 91 | JS: 90 | Peñín: N/A
Boekenhoutskloof Chocolate Block 22-|2022|Franschhoek|Syrah|124€|Nariz: cassis, ervas e especiarias. Boca: denso cremoso. Chocolate Block top. Beba agora-2030+. Harmonização: carne vermelha.|WA: 93 | JS: 92 | Peñín: N/A
Storm Ridge 22-|2022|Hemel-en-Aarde|Pinot Noir|122€|Nariz: morango, ervas e mineral. Boca: elegante taninos finos. Storm Ridge top. Beba agora-2030+. Harmonização: peixe ou aves.|WA: 94 | JS: 93 | Peñín: N/A
Storm Ridge Pinot Noir 22-|2022|Hemel-en-Aarde|Pinot Noir|134€|Nariz: frutas vermelhas, mineral. Boca: fresco denso. Pinot Noir top. Beba agora-2030+. Harmonização: carnes leves.|WA: 94 | JS: 93 | Peñín: N/A
Savage Thief in the Night 23-|2023|Western Cape|Syrah|88€|Nariz: cassis, pimenta e ervas. Boca: denso puro. Thief in the Night top. Jovem top. Beba agora-2028+. Harmonização: carne vermelha.|WA: N/A | JS: N/A | Peñín: N/A
Savage Tinto 2023|2023|Western Cape|Syrah|86€|Nariz: frutas escuras, especiarias. Boca: vibrante denso. Jovem top. Beba agora-2028+. Harmonização: carnes grelhadas.|WA: N/A | JS: N/A | Peñín: N/A
Domaine Muzard Tinto 2023|Borgoña|Pinot Noir|105€|Nariz: morango, ervas e mineral. Boca: fresco denso. Tinto top. Jovem top. Beba agora-2028+. Harmonização: aves.|WA: N/A | JS: N/A | Peñín: N/A
Ata Rangi Tinto 2021|2021|Isla Norte|Pinot Noir|200€|Nariz: morango, ervas. Boca: elegante taninos finos. Ata Rangi top. Beba agora-2030+. Harmonização: peixe ou aves.|WA: 95 | JS: 94 | Peñín: N/A
Clos des Fées Tinto 2022|2022|Languedoc-Roussillon|Garnacha|60€|Nariz: frutas vermelhas, ervas. Boca: fresco equilibrado. Tinto top. Beba agora-2028+. Harmonização: carnes leves.|WA: 92 | JS: 91 | Peñín: N/A
La Grange des Pères Tinto 2021|2021|Languedoc-Roussillon|Syrah|380€|Nariz: cassis, ervas e mineral. Boca: denso cremoso. Tinto top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 96 | JS: 95 | Peñín: N/A
Niepoort Tinto 2022|2022|Douro|Touriga Nacional|75€|Nariz: cassis, ervas. Boca: cremoso taninos suaves. Tinto top. Beba agora-2030+. Harmonização: carne vermelha.|WA: 93 | JS: 92 | Peñín: N/A
Artadi Tinto 2021|2021|Rioja|Tempranillo|341€|Nariz: cassis, ervas e mineral. Boca: denso cremoso. Magnum top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 94 | JS: 93 | Peñín: 93
Artadi Tinto 2022|2022|Rioja|Tempranillo|424€|Nariz: cassis, ervas. Boca: cremoso equilibrado. Magnum top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 94 | JS: 93 | Peñín: 93
Domaine Pierre Damoy Tinto 2018|2018|Borgoña|Pinot Noir|1715€|Nariz: cassis maduro, ervas. Boca: denso cremoso. Damoy top. Beba agora.|WA: 95 | JS: 94 | Peñín: N/A
Château La Fleur-Petrus Tinto 2020|2020|Burdeos|Merlot|580€|Nariz: cassis, ervas e mineral. Boca: cremoso taninos firmes. La Fleur-Petrus top. Beba agora-2040+. Harmonização: carne vermelha.|WA: 96 | JS: 95 | Peñín: N/A
Tenutta Ornellaia Tinto 2021|2021|Toscana|Cabernet Sauvignon|505€|Nariz: cassis mineral. Boca: denso puro. Ornellaia top. Beba agora-2040+. Harmonização: carne premium.|WA: 96 | JS: 95 | Peñín: N/A
Fratelli Cavallotto Tinto 2020|2020|Piamonte|Nebbiolo|175€|Nariz: cassis, rosas. Boca: fresco denso. Cavallotto top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 94 | JS: 93 | Peñín: N/A
Maison Louis Jadot Tinto 2021|2021|Borgoña|Pinot Noir|182€|Nariz: morango, ervas. Boca: cremoso equilibrado. Jadot top. Beba agora-2035+. Harmonização: aves.|WA: 93 | JS: 92 | Peñín: N/A
Maison Louis Jadot Tinto 2022|2022|Borgoña|Pinot Noir|166€|Nariz: frutas vermelhas, mineral. Boca: fresco denso. Jadot top. Beba agora-2035+. Harmonização: carnes leves.|WA: 93 | JS: 92 | Peñín: N/A
Château Léoville-Poyferré Tinto 2009|2009|Burdeos|Cabernet Sauvignon|525€|Nariz: cassis maduro, ervas. Boca: denso cremoso eterno. Léoville-Poyferré top. Beba agora.|WA: 96 | JS: 95 | Peñín: N/A
Racines Wine Tinto 2022|2022|California|Pinot Noir|107€|Nariz: morango, ervas e mineral. Boca: elegante taninos finos. Racines top. Beba agora-2030+. Harmonização: peixe ou aves.|WA: 93 | JS: 92 | Peñín: N/A
The Standish Tinto 2022|2022|South Australia|Shiraz|352€|Nariz: frutas escuras, especiarias. Boca: denso cremoso. Standish top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 95 | JS: 94 | Peñín: N/A
