Prieure Roch Le Clos Goillote 17-|2017|Borgoña|Pinot Noir|4175€|Nariz: frutas vermelhas maduras, mineral sutil, toque floral. Boca: denso cremoso, taninos finos, acidez viva, final longo elegante. Clos Goillote top maduro. Beba agora-2035. Carne vermelha ou queijo curado.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Lafite Rothschild 2000-|2000|Burdeos|Cabernet Sauvignon|3700€|Nariz: cassis ervas maduro. Boca: cremoso eterno. Lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Lafite Rothschild 22-|2022|Burdeos|Cabernet Sauvignon|1950€|Nariz: cassis violetas. Boca: denso elegante. Top. Beba 2028-2050. Luxo máximo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Lafite Rothschild 90-|1990|Burdeos|Cabernet Sauvignon|2800€|Nariz: cassis mineral maduro. Boca: complexo eterno. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Lafite Rothschild Pauillac 15-|2015|Burdeos|Cabernet Sauvignon|1890€|Nariz: cassis ervas. Boca: cremoso taninos firmes. Top. Beba agora-2045. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Lafite Rothschild Pauillac 17-|2017|Burdeos|Cabernet Sauvignon|1732€|Nariz: cassis mineral. Boca: denso elegante. Top. Beba agora-2040. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Lafite Rothschild Pauillac 18-|2018|Burdeos|Cabernet Sauvignon|1801€|Nariz: frutas escuras ervas. Boca: cremoso longo. Top. Beba agora-2045. Carne grelhada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Lafite Rothschild Pauillac 19-|2019|Burdeos|Cabernet Sauvignon|1653€|Nariz: cassis violetas. Boca: denso cremoso. Top. Beba agora-2050. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Lafite Rothschild Pauillac 20-|2020|Burdeos|Cabernet Sauvignon|1628€|Nariz: cassis mineral. Boca: cremoso taninos firmes. Top. Beba 2028-2050. Carne vermelha.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Lafite Rothschild Pauillac 21-|2021|Burdeos|Cabernet Sauvignon|1396€|Nariz: cassis ervas. Boca: denso elegante. Top. Beba 2028-2050. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Lafite Rothschild Pauillac 82-|1982|Burdeos|Cabernet Sauvignon|10990€|Nariz: cassis mineral maduro. Boca: complexo eterno. Lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Lafleur Pomerol 20-|2020|Burdeos|Merlot|3480€|Nariz: cassis mineral. Boca: denso cremoso eterno. Lafleur ícone. Beba 2028-2050. Luxo máximo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Lafleur Pomerol 21-|2021|Burdeos|Merlot|2150€|Nariz: frutas escuras ervas. Boca: cremoso taninos firmes. Top. Beba 2028-2050. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Lafleur Pomerol 22-|2022|Burdeos|Merlot|487€|Nariz: cassis violetas. Boca: denso puro. Top. Beba 2027-2045. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Lascombes 22-|2022|Burdeos|Cabernet Sauvignon|210€|Nariz: cassis ervas. Boca: cremoso equilibrado. Lascombes top. Beba agora-2035. Carne grelhada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Latour Pauillac 00-|2000|Burdeos|Cabernet Sauvignon|3300€|Nariz: cassis mineral maduro. Boca: denso eterno. Maduro lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Latour Pauillac 03-|2003|Burdeos|Cabernet Sauvignon|2240€|Nariz: cassis ervas maduro. Boca: cremoso complexo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Latour Pauillac 05-|2005|Burdeos|Cabernet Sauvignon|2300€|Nariz: cassis mineral. Boca: denso taninos firmes. Top. Beba agora-2045. Carne vermelha.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Latour Pauillac 09-|2009|Burdeos|Cabernet Sauvignon|3000€|Nariz: cassis ervas. Boca: cremoso longo. Top. Beba agora-2050. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Latour Pauillac 10-|2010|Burdeos|Cabernet Sauvignon|3350€|Nariz: cassis mineral. Boca: denso cremoso eterno. Top. Beba agora-2050. Pratos nobres.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Latour Pauillac 17-|2017|Burdeos|Cabernet Sauvignon|1339€|Nariz: cassis ervas. Boca: cremoso taninos suaves. Top. Beba agora-2040. Carne grelhada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Latour Pauillac 82-|1982|Burdeos|Cabernet Sauvignon|5635€|Nariz: cassis mineral maduro. Boca: complexo eterno. Lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Latour Pauillac Les Forts 18-|2018|Burdeos|Cabernet Sauvignon|453€|Nariz: cassis mineral. Boca: denso elegante. Les Forts top. Beba agora-2040. Carne ou queijo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Le Bon Pasteur 22-|2022|Burdeos|Cabernet Sauvignon|152€|Nariz: cassis ervas. Boca: cremoso equilibrado. Bon Pasteur top. Beba agora-2035. Carne vermelha.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Leoville Barton Saint Julien 19-|2019|Burdeos|Cabernet Sauvignon|215€|Nariz: cassis mineral. Boca: denso taninos firmes. Barton top. Beba agora-2040. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Leoville Barton Saint Julien 20-|2020|Burdeos|Cabernet Sauvignon|208€|Nariz: frutas escuras ervas. Boca: cremoso longo. Top. Beba agora-2045. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Leoville Las Cases 11-|2011|Burdeos|Cabernet Sauvignon|410€|Nariz: cassis mineral maduro. Boca: denso complexo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Leoville Las Cases 22-|2022|Burdeos|Cabernet Sauvignon|890€|Nariz: cassis violetas. Boca: denso cremoso. Las Cases top. Beba 2028-2050. Luxo máximo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Leoville Las Cases Saint Julien 05-|2005|Burdeos|Cabernet Sauvignon|650€|Nariz: cassis ervas maduro. Boca: cremoso taninos firmes. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Leoville Les Cases Saint Julien 00-|2000|Burdeos|Cabernet Sauvignon|525€|Nariz: cassis mineral maduro. Boca: complexo eterno. Maduro lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Leoville Les Cases Saint Julien 09-|2009|Burdeos|Cabernet Sauvignon|706€|Nariz: cassis ervas. Boca: denso cremoso. Top. Beba agora-2045. Carne grelhada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Leoville Les Cases Saint Julien 10-|2010|Burdeos|Cabernet Sauvignon|675€|Nariz: cassis mineral. Boca: denso taninos firmes. Top. Beba agora-2050. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Leoville Les Cases Saint Julien 19-|2019|Burdeos|Cabernet Sauvignon|562€|Nariz: cassis violetas. Boca: cremoso elegante. Top. Beba agora-2045. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Leoville Les Cases Saint Julien 20-|2020|Burdeos|Cabernet Sauvignon|630€|Nariz: cassis ervas. Boca: denso cremoso. Top. Beba 2028-2050. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Leoville Les Cases Saint Julien 21-|2021|Burdeos|Cabernet Sauvignon|554€|Nariz: cassis mineral. Boca: taninos firmes longo. Top. Beba 2028-2050. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Leoville Les Cases Saint Julien 96-|1996|Burdeos|Cabernet Sauvignon|576€|Nariz: cassis mineral maduro. Boca: complexo eterno. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Leoville Poyferre Saint Julien 09-|2009|Burdeos|Cabernet Sauvignon|525€|Nariz: cassis ervas maduro. Boca: denso cremoso. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Leoville Poyferre Saint Julien 19-|2019|Burdeos|Cabernet Sauvignon|159€|Nariz: cassis mineral. Boca: cremoso taninos suaves. Top. Beba agora-2040. Carne vermelha.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Leoville Poyferre Saint Julien 20-|2020|Burdeos|Cabernet Sauvignon|276€|Nariz: frutas escuras ervas. Boca: denso elegante. Top. Beba agora-2045. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Les Carmes Haut Brion 15-|2015|Burdeos|Cabernet Sauvignon|342€|Nariz: cassis mineral. Boca: denso cremoso. Carmes top. Beba agora-2040. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Les Carmes Haut Brion 22-|2022|Burdeos|Cabernet Sauvignon|430€|Nariz: cassis ervas. Boca: cremoso taninos firmes. Top. Beba 2027-2045. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch L'Evangile 22-|2022|Burdeos|Cabernet Sauvignon|660€|Nariz: cassis violetas. Boca: denso cremoso. L'Evangile top. Beba 2027-2050. Carne grelhada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Lynch Bages 18-|2018|Burdeos|Cabernet Sauvignon|344€|Nariz: cassis mineral. Boca: cremoso taninos firmes. Lynch Bages top. Beba agora-2040. Carne vermelha.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Margaux 19-|2019|Burdeos|Cabernet Sauvignon|1785€|Nariz: cassis violetas mineral. Boca: denso cremoso eterno. Margaux ícone. Beba 2028-2060. Luxo máximo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Margaux 20-|2020|Burdeos|Cabernet Sauvignon|1674€|Nariz: cassis ervas. Boca: taninos firmes longo. Top. Beba 2028-2050. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Margaux 21-|2021|Burdeos|Cabernet Sauvignon|1240€|Nariz: cassis mineral. Boca: denso elegante. Top. Beba 2028-2050. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Margaux 22-|2022|Burdeos|Cabernet Sauvignon|1600€|Nariz: cassis violetas. Boca: cremoso taninos suaves. Top. Beba 2029-2050. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Margaux 82-|1982|Burdeos|Cabernet Sauvignon|2950€|Nariz: cassis mineral maduro. Boca: complexo eterno. Lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Marquis D´Alesme 22-|2022|Burdeos|Cabernet Sauvignon|129€|Nariz: cassis ervas. Boca: cremoso equilibrado. Bom valor. Beba agora-2035. Carne grelhada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Montrose 22-|2022|Burdeos|Cabernet Sauvignon|580€|Nariz: cassis mineral. Boca: denso taninos firmes. Montrose top. Beba 2028-2050. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Montrose St Estephe 05-|2005|Burdeos|Cabernet Sauvignon|400€|Nariz: cassis ervas maduro. Boca: cremoso complexo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Montrose St Estephe 16-|2016|Burdeos|Cabernet Sauvignon|382€|Nariz: cassis mineral. Boca: denso elegante. Top. Beba agora-2045. Carne vermelha.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Montrose St Estephe 96-|1996|Burdeos|Cabernet Sauvignon|390€|Nariz: cassis mineral maduro. Boca: complexo eterno. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Mouton Rothschild 22-|2022|Burdeos|Cabernet Sauvignon|1700€|Nariz: cassis violetas mineral. Boca: denso cremoso eterno. Mouton ícone. Beba 2028-2060. Luxo máximo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Mouton Rothschild Pauillac 16-|2016|Burdeos|Cabernet Sauvignon|1800€|Nariz: cassis ervas. Boca: cremoso taninos firmes. Top. Beba agora-2045. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Mouton Rothschild Pauillac 19-|2019|Burdeos|Cabernet Sauvignon|1066€|Nariz: cassis mineral. Boca: denso elegante. Top. Beba agora-2050. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Mouton Rothschild Pauillac 20-|2020|Burdeos|Cabernet Sauvignon|1544€|Nariz: cassis violetas. Boca: cremoso longo. Top. Beba 2028-2050. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Mouton Rothschild Pauillac 21-|2021|Burdeos|Cabernet Sauvignon|1292€|Nariz: cassis ervas. Boca: denso taninos firmes. Top. Beba 2028-2050. Carne grelhada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Mouton Rothschild Pauillac 82-|1982|Burdeos|Cabernet Sauvignon|2375€|Nariz: cassis mineral maduro. Boca: complexo eterno. Lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Nenin 22-|2022|Burdeos|Cabernet Sauvignon|182€|Nariz: cassis ervas. Boca: cremoso equilibrado. Nenin top. Beba agora-2035. Carne vermelha.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Palmer 20-|2020|Burdeos|Cabernet Sauvignon|766€|Nariz: cassis mineral. Boca: denso cremoso. Palmer top. Beba agora-2045. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Palmer 22-|2022|Burdeos|Cabernet Sauvignon|935€|Nariz: cassis violetas. Boca: cremoso taninos firmes. Top. Beba 2028-2050. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Palmer Margaux 18-|2018|Burdeos|Cabernet Sauvignon|878€|Nariz: cassis ervas. Boca: denso elegante. Maduro top. Beba agora-2040. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Palmer Margaux 19-|2019|Burdeos|Cabernet Sauvignon|583€|Nariz: frutas escuras mineral. Boca: cremoso longo. Top. Beba agora-2045. Carne grelhada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Palmer Margaux 21-|2021|Burdeos|Cabernet Sauvignon|756€|Nariz: cassis ervas. Boca: denso puro. Top. Beba 2028-2050. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Pape Clement 22-|2022|Burdeos|Cabernet Sauvignon|210€|Nariz: cassis mineral. Boca: cremoso taninos suaves. Pape Clement top. Beba 2027-2045. Carne vermelha.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Pavie 03-|2003|Burdeos|Merlot|731€|Nariz: cassis mineral maduro. Boca: denso eterno. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Pavie 10-|2010|Burdeos|Merlot|850€|Nariz: cassis ervas. Boca: cremoso taninos firmes. Top. Beba agora-2050. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Pavie 12-|2012|Burdeos|Merlot|739€|Nariz: cassis mineral. Boca: denso longo. Top. Beba agora-2040. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Pavie 16-|2016|Burdeos|Merlot|904€|Nariz: frutas escuras ervas. Boca: cremoso elegante. Top. Beba agora-2045. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Pavie Saint Emilion 00-|2000|Burdeos|Merlot|1050€|Nariz: cassis mineral maduro. Boca: complexo eterno. Maduro lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Pavie Saint Emilion 05-|2005|Burdeos|Merlot|1010€|Nariz: cassis ervas maduro. Boca: denso cremoso. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Pavie Saint Emilion 15-|2015|Burdeos|Merlot|775€|Nariz: cassis mineral. Boca: cremoso taninos firmes. Top. Beba agora-2045. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Pavie Saint Emilion 20-|2020|Burdeos|Merlot|710€|Nariz: cassis violetas. Boca: denso puro. Top. Beba agora-2045. Carne grelhada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Pavie Saint Emilion 21-|2021|Burdeos|Merlot|650€|Nariz: frutas escuras ervas. Boca: cremoso elegante. Top. Beba 2028-2050. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Peby Faugueres Saint Emilion 18-|2018|Burdeos|Merlot|220€|Nariz: cassis mineral. Boca: denso cremoso. Peby top. Beba agora-2035. Carne vermelha.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Peby Faugueres Saint Emilion 21-|2021|Burdeos|Merlot|248€|Nariz: frutas vermelhas ervas. Boca: cremoso taninos suaves. Top. Beba agora-2040. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Phelan Segur 22-|2022|Burdeos|Cabernet Sauvignon|140€|Nariz: cassis ervas. Boca: cremoso equilibrado. Phelan top. Beba agora-2035. Carne grelhada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Pichon Baron 22-|2022|Burdeos|Cabernet Sauvignon|440€|Nariz: cassis mineral. Boca: denso taninos firmes. Pichon Baron top. Beba 2028-2050. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Pichon Baron Longueville Pauillac 19-|2019|Burdeos|Cabernet Sauvignon|372€|Nariz: cassis ervas. Boca: cremoso elegante. Top. Beba agora-2045. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Pichon Baron Longueville Pauillac 20-|2020|Burdeos|Cabernet Sauvignon|326€|Nariz: frutas escuras mineral. Boca: denso longo. Top. Beba agora-2045. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Pichon Baron Longueville Pauillac 21-|2021|Burdeos|Cabernet Sauvignon|336€|Nariz: cassis violetas. Boca: cremoso taninos suaves. Top. Beba 2028-2050. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Pichon Comtesse Lalande Pauillac 19-|2019|Burdeos|Cabernet Sauvignon|331€|Nariz: cassis mineral. Boca: denso cremoso. Comtesse top. Beba agora-2045. Carne vermelha.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Pichon Comtesse Lalande Pauillac 20-|2020|Burdeos|Cabernet Sauvignon|491€|Nariz: cassis ervas. Boca: cremoso elegante. Top. Beba agora-2045. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Pichon Comtesse Lalande Pauillac 21-|2021|Burdeos|Cabernet Sauvignon|465€|Nariz: frutas escuras mineral. Boca: denso puro. Top. Beba 2028-2050. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Pontet Canet 22-|2022|Burdeos|Cabernet Sauvignon|325€|Nariz: cassis mineral. Boca: denso taninos firmes. Pontet Canet top. Beba 2028-2050. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Pontet Canet Pauillac 10-|2010|Burdeos|Cabernet Sauvignon|465€|Nariz: cassis ervas maduro. Boca: cremoso complexo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Pontet Canet Pauillac 18-|2018|Burdeos|Cabernet Sauvignon|455€|Nariz: cassis mineral. Boca: denso longo. Top. Beba agora-2045. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Rauzan Segla 10-|2010|Burdeos|Cabernet Sauvignon|424€|Nariz: cassis mineral maduro. Boca: denso cremoso. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Rauzan Segla 16-|2016|Burdeos|Cabernet Sauvignon|393€|Nariz: cassis ervas. Boca: cremoso taninos firmes. Top. Beba agora-2040. Carne vermelha.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Rauzan Segla 22-|2022|Burdeos|Cabernet Sauvignon|300€|Nariz: cassis violetas. Boca: denso elegante. Top. Beba 2028-2050. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Rocheyron 21-|2021|Burdeos|Cabernet Sauvignon|210€|Nariz: cassis ervas. Boca: cremoso equilibrado. Rocheyron top. Beba agora-2035. Carne grelhada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Rocheyron Saint Emilion 20-|2020|Burdeos|Merlot|240€|Nariz: frutas escuras mineral. Boca: denso puro. Top. Beba agora-2040. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Smith Haut Lafite 09-|2009|Burdeos|Cabernet Sauvignon|830€|Nariz: cassis mineral maduro. Boca: denso cremoso. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Smith Haut Lafite TO 22-|2022|Burdeos|Cabernet Sauvignon|371€|Nariz: cassis ervas. Boca: cremoso taninos suaves. TO top. Beba agora-2035. Carne vermelha.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Talbot Saint Julien 19-|2019|Burdeos|Cabernet Sauvignon|145€|Nariz: cassis mineral. Boca: denso elegante. Talbot top. Beba agora-2040. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Troplong Mondot 22-|2022|Burdeos|Cabernet Sauvignon|320€|Nariz: cassis violetas. Boca: cremoso taninos firmes. Troplong top. Beba 2027-2045. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Trotanoy Pomerol 21-|2021|Burdeos|Merlot|588€|Nariz: cassis mineral. Boca: denso cremoso. Trotanoy top. Beba 2027-2045. Carne grelhada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Valandraud 19-|2019|Burdeos|Cabernet Sauvignon|294€|Nariz: cassis ervas. Boca: denso elegante. Valandraud top. Beba agora-2040. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Angelus 1ºCru 10-|2010|Burdeos|Merlot|1200€|Nariz: cassis mineral maduro. Boca: denso eterno. 1º Cru top. Beba agora-2050. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Angelus 1ºCru 17-|2017|Burdeos|Merlot|735€|Nariz: cassis ervas. Boca: cremoso taninos firmes. Top. Beba agora-2040. Carne vermelha.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Ausone 2017-|2017|Burdeos|Merlot|1470€|Nariz: cassis mineral. Boca: denso cremoso. Top. Beba agora-2040. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Belair-Monangue 17-|2017|Burdeos|Cabernet Sauvignon|336€|Nariz: cassis ervas. Boca: cremoso equilibrado. Top. Beba agora-2035. Carne grelhada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Belair-Monangue 18-|2018|Burdeos|Cabernet Sauvignon|304€|Nariz: frutas escuras mineral. Boca: denso longo. Top. Beba agora-2040. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Cheval Blanc 1ºCru. 14-|2014|Burdeos|Merlot|1860€|Nariz: cassis mineral maduro. Boca: cremoso complexo. 1º Cru top. Beba agora-2040. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Cheval Blanc 1ºCru. 15-|2015|Burdeos|Merlot|1963€|Nariz: cassis ervas. Boca: denso elegante. Top. Beba agora-2045. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Cheval Blanc 1ºCru. 17-|2017|Burdeos|Merlot|1575€|Nariz: frutas escuras mineral. Boca: cremoso taninos firmes. Top. Beba agora-2040. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Cheval Blanc 1ºCru. 18-|2018|Burdeos|Merlot|1300€|Nariz: cassis violetas. Boca: denso puro. Top. Beba agora-2045. Carne vermelha.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Cheval Blanc 1ºCru. 19-|2019|Burdeos|Merlot|1500€|Nariz: cassis mineral. Boca: cremoso elegante. Top. Beba agora-2050. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Cheval Blanc 1ºCru. 98-|1998|Burdeos|Merlot|3265€|Nariz: cassis mineral maduro. Boca: complexo eterno. Lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Haut Brion 09-|2009|Burdeos|Cabernet Sauvignon|2273€|Nariz: cassis mineral maduro. Boca: denso eterno. Maduro lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Haut Brion 18-|2018|Burdeos|Cabernet Sauvignon|1250€|Nariz: cassis ervas. Boca: cremoso taninos firmes. Top. Beba agora-2045. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. La Conseillante 18-|2018|Burdeos|Cabernet Sauvignon|436€|Nariz: cassis mineral. Boca: denso cremoso. Top. Beba agora-2040. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Lafite Rothschild 12-|2012|Burdeos|Cabernet Sauvignon|1764€|Nariz: cassis ervas maduro. Boca: denso longo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Latour 96-|1996|Burdeos|Cabernet Sauvignon|3100€|Nariz: cassis mineral maduro. Boca: complexo eterno. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Latour 99-|1999|Burdeos|Cabernet Sauvignon|3000€|Nariz: cassis ervas maduro. Boca: denso cremoso. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Margaux 1ºCru. 15-|2015|Burdeos|Cabernet Sauvignon|3100€|Nariz: cassis violetas mineral. Boca: denso cremoso eterno. 1º Cru top. Beba 2028-2050. Luxo máximo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Margaux 1ºCru. 16-|2016|Burdeos|Cabernet Sauvignon|1700€|Nariz: cassis ervas. Boca: cremoso taninos firmes. Top. Beba 2028-2050. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Margaux 1ºCru. 17-|2017|Burdeos|Cabernet Sauvignon|1260€|Nariz: cassis mineral. Boca: denso elegante. Top. Beba 2028-2050. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Mouton Rothschild 09-|2009|Burdeos|Cabernet Sauvignon|2730€|Nariz: cassis mineral maduro. Boca: denso eterno. Maduro lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
