Nome original|Safra|Região|Uva|Preço|Notas de Cata (sommelier simples)|Card Críticos
Recaredo Serral del Vell Brut 18-|2018|Cava|Macabeo|93€|Nariz: brioche, maçã madura, ervas secas, mineral. Boca: cremoso fino, acidez viva, bolha integrada, final longo seco. Cava clássico e elegante. Beba agora-2030. Aperitivo ou frutos do mar.|JS: N/A | WA: N/A | TA: N/A | Peñín: 94 (similar Recaredo)
Alba Rose 24-|2024|Baleares|Callet|44€|Nariz: morango cereja. Boca: fresco mineral. Rosé Baleares. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Chivite 125 Ros. 23-|2023|Navarra|Garnacha|64€|Nariz: morango flores. Boca: cremoso fresco. Rosé top. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Unzu de Julian Chivite 24-|2024|Navarra|Garnacha|32€|Nariz: cereja morango. Boca: leve fresco. Rosé bom valor. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Flor de Muga Rosado 24-|2024|Rioja|Garnacha|67€|Nariz: morango flores. Boca: cremoso elegante. Rosé Rioja top. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Marques de Murrieta Ros 23-|2023|Rioja|Garnacha|70€|Nariz: morango cereja. Boca: fresco equilibrado. Rosé clássico. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Oxer B Otto 24-|2024|Rioja|Garnacha|79€|Nariz: frutas vermelhas ervas. Boca: puro fresco. Rosé top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sierra Cantabria XF Rosado 24-|2024|Rioja|Garnacha|41€|Nariz: morango flores. Boca: leve mineral. Rosé bom valor. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
G Bertrand Clos du Temple 23-|2023|Languedoc-Roussillon|Garnacha|397€|Nariz: morango flores mineral. Boca: cremoso elegante. Rosé top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Source of Joy 24-|2024|Languedoc-Roussillon|Garnacha|42€|Nariz: cereja morango. Boca: fresco puro. Rosé bom. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Esclans Garrus 21-|2021|Provenza|Garnacha|196€|Nariz: morango flores. Boca: cremoso mineral. Garrus top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Esclans Provence Whispering Angel 24-|2024|Provenza|Garnacha|52€|Nariz: morango limão. Boca: fresco leve. Rosé clássico. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Romassan Bandol Rosé 23-|2023|Provenza|Mourvèdre|97€|Nariz: morango ervas. Boca: denso mineral. Bandol top. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Chateau Peyrassol RO 24-|2024|Provenza|Garnacha|52€|Nariz: morango flores. Boca: fresco elegante. Provenza puro. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Domaine Tempier Bandol Rose 24-|2024|Provenza|Mourvèdre|58€|Nariz: morango ervas mineral. Boca: denso fresco. Tempier top. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Miraval Provence-|2024|Provenza|Cinsault|52€|Nariz: morango limão. Boca: leve fresco. Miraval clássico. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ott Ch de Selle Provence Rose 24-|2024|Provenza|Garnacha|85€|Nariz: morango flores. Boca: cremoso mineral. Ott top. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pibarnon Bandol RO 2024-|2024|Provenza|Mourvèdre|58€|Nariz: morango ervas. Boca: denso elegante. Bandol puro. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Calafuria 23-|2023|Puglia|Negroamaro|48€|Nariz: morango cereja. Boca: fresco leve. Rosé Puglia. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Domino del Águila Rosado 2020-|2020|Ribera del Duero|Tempranillo|386€|Nariz: morango ervas. Boca: fresco mineral. Clarete top. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Twardowski Ardoise 21-|2021|Mosela|Pinot Noir|209€|Nariz: morango cereja mineral. Boca: leve tenso. Pinot Noir alemão. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Bira Rosso D´Uco 23-|2023|Mendoza|Malbec|42€|Nariz: frutas vermelhas especiarias. Boca: fresco leve. Rosé Malbec. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Bressia Conjuro 16-|2016|Mendoza|Cabernet Sauvignon|145€|Nariz: cassis ervas. Boca: denso complexo. Maduro top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Catena Zapata Nicasia 22-|2022|Mendoza|Malbec|176€|Nariz: frutas escuras violetas. Boca: denso mineral. Malbec top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
El Enemigo Cabernet Franc 21-|2021|Mendoza|Cabernet Franc|59€|Nariz: pimentão frutas vermelhas. Boca: fresco mineral. CF top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Gran Enemigo Gualtallary 20-|2020|Mendoza|Cabernet Franc|258€|Nariz: cassis ervas mineral. Boca: denso elegante. Ícone. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Per Se Inseparable 22-|2022|Mendoza|Malbec|104€|Nariz: frutas escuras violetas. Boca: cremoso mineral. Malbec top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Per Se Lubileus 22-|2022|Mendoza|Malbec|506€|Nariz: cassis mineral. Boca: denso complexo. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Perse La Craie 22-|2022|Mendoza|Chardonnay|549€|Nariz: limão maçã mineral. Boca: cremoso tenso. Branco top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
PerSe Volare Del Camino 22-|2022|Mendoza|Malbec|338€|Nariz: frutas escuras violetas. Boca: denso mineral. Malbec top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Riccitelli C Franc Montaña 21-|2021|Mendoza|Cabernet Franc|82€|Nariz: pimentão frutas vermelhas. Boca: fresco elegante. CF top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Vuelo Andino Blend Alado 20-|2020|Mendoza|Malbec|71€|Nariz: frutas escuras especiarias. Boca: equilibrado mineral. Blend top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Y La Nave Va 20-|2020|Mendoza|Malbec|76€|Nariz: cassis violetas. Boca: denso fresco. Malbec top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Zuccardi Concreto 23-|2023|Mendoza|Malbec|105€|Nariz: frutas escuras mineral. Boca: puro tenso. Concreto top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Zuccardi Las Cerrilladas Malbec 19-|2019|Mendoza|Malbec|255€|Nariz: cassis violetas mineral. Boca: denso complexo. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Zuccardi Piedra Infinita 19-|2019|Mendoza|Malbec|310€|Nariz: frutas escuras mineral calcário. Boca: tenso elegante. Ícone. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Zuccardi Piedra Infinita Gravascal 19-|2019|Mendoza|Malbec|501€|Nariz: cassis mineral. Boca: denso puro. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Zuccardi Piedra Infinita Supercal 20-|2020|Mendoza|Malbec|640€|Nariz: frutas escuras calcário. Boca: tenso mineral. Ícone. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Zuccardi Poligonos S Pablo 22-|2022|Mendoza|Malbec|65€|Nariz: cassis violetas. Boca: fresco mineral. Bom valor. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
A Lisa 24-|2024|Patagonia|Malbec|55€|Nariz: frutas vermelhas ervas. Boca: fresco leve. Malbec Patagonia. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Riccitelli Patagonia Malbec 22-|2022|Patagonia|Malbec|104€|Nariz: cassis mineral. Boca: denso elegante. Patagonia top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
John Duval Entity 21-|2021|South Australia|Shiraz|96€|Nariz: frutas escuras especiarias. Boca: denso cremoso. Shiraz top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Penfolds Bin 180 Cab Shiraz 21-|2021|South Australia|Cabernet Sauvignon|1360€|Nariz: cassis chocolate. Boca: denso mineral. Blend top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Penfolds Bin 707 22-|2022|South Australia|Cabernet Sauvignon|859€|Nariz: cassis ervas. Boca: taninos firmes longo. Cab top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Penfolds Bin 707 Cabernet 18-|2018|South Australia|Cabernet Sauvignon|820€|Nariz: cassis mineral. Boca: denso complexo. Maduro top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Penfolds Grange 18-|2018|South Australia|Shiraz|1300€|Nariz: frutas escuras especiarias. Boca: denso cremoso eterno. Ícone Grange. Beba agora-2050.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Penfolds RWT Bin 798 22-|2022|South Australia|Shiraz|248€|Nariz: frutas escuras carvalho. Boca: cremoso mineral. RWT top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Penfolds St Henri 21-|2021|South Australia|Shiraz|184€|Nariz: frutas escuras ervas. Boca: puro taninos suaves. St Henri clássico. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Penfolds Superblend B 18-|2018|South Australia|Garnacha|1080€|Nariz: frutas vermelhas especiarias. Boca: denso elegante. Superblend top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
The Standish The Relic 22-|2022|South Australia|Shiraz|446€|Nariz: frutas escuras mineral. Boca: denso puro. Shiraz top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
The Standish The Schubert Theorem 21-|2021|South Australia|Shiraz|446€|Nariz: especiarias frutas escuras. Boca: cremoso mineral. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
The Standish The Standish 22-|2022|South Australia|Shiraz|370€|Nariz: frutas escuras carvalho. Boca: denso elegante. Ícone. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Timo Mayer Bloody Hill 23-|2023|South Australia|Syrah|80€|Nariz: frutas escuras pimenta. Boca: fresco mineral. Syrah top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Timo Mayer Close Planted 23-|2023|South Australia|Pinot Noir|157€|Nariz: morango ervas. Boca: leve tenso. Pinot top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Timo Mayer The Doktor 23-|2023|South Australia|Pinot Noir|150€|Nariz: cereja mineral. Boca: puro elegante. Pinot top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Torbreck Runrig 20-|2020|South Australia|Shiraz|472€|Nariz: frutas escuras especiarias. Boca: denso cremoso. Runrig top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Torbreck Runrig 21-|2021|South Australia|Shiraz|465€|Nariz: cassis pimenta. Boca: taninos firmes longo. Top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Torbreck The Laird 18-|2018|South Australia|Shiraz|1228€|Nariz: frutas escuras chocolate. Boca: denso eterno. Ícone Laird. Beba agora-2050.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Torbreck The Struie 23-|2023|South Australia|Shiraz|112€|Nariz: frutas escuras ervas. Boca: fresco denso. Bom valor. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Bass Phillip Estate Pinot Noir 21-|2021|Victoria|Pinot Noir|81€|Nariz: morango cereja mineral. Boca: leve tenso. Pinot AU top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Almaviva 20-|2020|Valle Central|Cabernet Sauvignon|345€|Nariz: cassis ervas. Boca: denso taninos firmes. Blend top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Almaviva 21-|2021|Valle Central|Cabernet Sauvignon|375€|Nariz: cassis chocolate. Boca: cremoso elegante. Top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Alas de Frontonio La Tejera 22-|2022|Aragón|Garnacha|138€|Nariz: frutas vermelhas ervas. Boca: puro mineral. Garnacha top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
El Jardín de las Iguales|2022|Aragón|Garnacha|304€|Nariz: morango flores. Boca: denso elegante. Garnacha pura. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Frontonio Telescópico 22-|2022|Aragón|Garnacha|44€|Nariz: frutas vermelhas especiarias. Boca: fresco mineral. Bom valor. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Psicodelico 22-|2022|Aragón|Garnacha|91€|Nariz: morango ervas. Boca: denso puro. Garnacha top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
4 kilos 23-|2023|Baleares|Callet|87€|Nariz: frutas vermelhas ervas. Boca: fresco mineral. Callet top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Son Agulló 22-|2022|Baleares|Callet|92€|Nariz: morango flores. Boca: leve tenso. Baleares puro. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
3/8 Alabaster 23-|2023|Toro|Tinta de Toro|162€|Nariz: frutas escuras especiarias. Boca: denso mineral. Toro top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
A Retuerta Cuvée Palomar 21-|2021|Ribera del Duero|Tempranillo|81€|Nariz: cassis ervas. Boca: cremoso taninos suaves. Blend top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
A Retuerta Pago Garduña 20-|2020|Ribera del Duero|Tempranillo|171€|Nariz: frutas escuras mineral. Boca: denso elegante. Pago top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
A Retuerta Pago Valdebellón 20-|2020|Castilla y León|Cabernet Sauvignon|150€|Nariz: cassis ervas. Boca: taninos firmes. Cab top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
A Retuerta Petit Verdot 20-|2020|Castilla y León|Petit Verdot|215€|Nariz: cassis violeta. Boca: denso especiado. PV top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Abadia Retuerta Sel Especial 21-|2020|Ribera del Duero|Tempranillo|36€|Nariz: frutas escuras ervas. Boca: cremoso equilibrado. Especial bom. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Abadia Retuerta Seleccion Especial-|2020|Ribera del Duero|Tempranillo|52€|Nariz: cassis mineral. Boca: denso elegante. Selección top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Alabaster-|2022|Toro|Tinta de Toro|319€|Nariz: frutas escuras especiarias. Boca: denso mineral. Toro top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Alabaster 22-|2022|Toro|Tinta de Toro|290€|Nariz: cassis pimenta. Boca: taninos firmes longo. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Alion 21-|2021|Ribera del Duero|Tempranillo|140€|Nariz: cassis ervas. Boca: cremoso taninos suaves. Vega Sicilia top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Alonso del Yerro 20-|2020|Ribera del Duero|Tempranillo|43€|Nariz: frutas vermelhas ervas. Boca: fresco equilibrado. Bom valor. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Alvar de Dios Aciano 21-|2021|Toro|Tinta de Toro|35€|Nariz: frutas escuras mineral. Boca: puro taninos suaves. Bom valor Toro. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Arrocal Casablanca 23-|2023|Ribera del Duero|Tempranillo|85€|Nariz: cassis ervas. Boca: denso elegante. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Arrocal Paraje Colmenares 23-|2023|Ribera del Duero|Tempranillo|48€|Nariz: frutas escuras mineral. Boca: puro fresco. Bom valor. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Aurelio Garcia La Guia 22-|2022|Ribera del Duero|Tempranillo|150€|Nariz: cassis violetas. Boca: denso mineral. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ausas Interpretacion 22-|2022|Ribera del Duero|Tempranillo|93€|Nariz: frutas escuras ervas. Boca: cremoso taninos firmes. Interpretacion top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Bendito Destino Camino Destino 24-|2024|Ribera del Duero|Tempranillo|53€|Nariz: frutas vermelhas ervas. Boca: fresco mineral. Jovem top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Bendito Destino Hontanares 23-|2023|Ribera del Duero|Tempranillo|265€|Nariz: cassis mineral. Boca: denso elegante. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Bosque de Matasnos Ed Limitada 19-|2019|Ribera del Duero|Tempranillo|74€|Nariz: frutas escuras especiarias. Boca: denso complexo. Edición top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Bosque Matasnos Et Blanca 22-|2022|Ribera del Duero|Tempranillo|59€|Nariz: frutas vermelhas ervas. Boca: fresco leve. Blanca top. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Canta La Perdiz 18-|2018|Ribera del Duero|Tempranillo|687€|Nariz: cassis ervas. Boca: denso mineral. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Canta La Perdiz 19-|2019|Ribera del Duero|Tempranillo|620€|Nariz: frutas escuras mineral. Boca: cremoso longo. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Carmelo Rodero TSM 21-|2021|Ribera del Duero|Tempranillo|152€|Nariz: cassis violetas. Boca: denso elegante. TSM top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Casa Lebai Matadiablos 22-|2022|Ribera del Duero|Tempranillo|62€|Nariz: frutas vermelhas ervas. Boca: fresco mineral. Bom valor. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Cepa 21 22-|2022|Ribera del Duero|Tempranillo|48€|Nariz: cassis ervas. Boca: puro taninos suaves. Bom valor. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Cepa 21 Malabrigo 22-|2022|Ribera del Duero|Tempranillo|72€|Nariz: frutas escuras mineral. Boca: denso elegante. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Cesar Marquez Sufreiral 23-|2023|Bierzo|Mencía|83€|Nariz: frutas vermelhas ervas. Boca: fresco mineral. Mencía top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Cesar Marquez Valtuille 23-|2023|Bierzo|Mencía|37€|Nariz: cereja flores. Boca: leve puro. Bom valor. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Conde San Cristobal 22-|2022|Ribera del Duero|Tempranillo|41€|Nariz: cassis ervas. Boca: cremoso taninos suaves. Bom valor. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Corimbo 22-|2022|Ribera del Duero|Tempranillo|41€|Nariz: frutas escuras especiarias. Boca: denso equilibrado. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Corimbo I 18-|2018|Ribera del Duero|Tempranillo|67€|Nariz: cassis mineral. Boca: cremoso complexo. Maduro top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Corullon 22-|2022|Bierzo|Mencía|85€|Nariz: frutas vermelhas flores. Boca: puro mineral. Corullon top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Corullon 23-|2023|Bierzo|Mencía|90€|Nariz: cereja ervas. Boca: tenso elegante. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Cuesta de las Liebres 20-|2020|Ribera del Duero|Tempranillo|403€|Nariz: cassis mineral. Boca: denso longo. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Cuesta Las Liebres 19-|2019|Ribera del Duero|Tempranillo|408€|Nariz: frutas escuras ervas. Boca: cremoso taninos firmes. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Doble Mg Alabaster 22-|2022|Toro|Tinta de Toro|Doble Magnum (300cl)|1287€|Nariz: frutas escuras especiarias. Boca: denso mineral eterno. Magnum top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Doble Mg Alion 20-|2020|Ribera del Duero|Tempranillo|Doble Magnum (300cl)|591€|Nariz: cassis ervas. Boca: cremoso longo. Magnum top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Doble Mg Corullon 22-|2022|Bierzo|Mencía|Doble Magnum (300cl)|398€|Nariz: frutas vermelhas mineral. Boca: puro denso. Magnum top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Doble Mg Dominio de Es 22-|2022|Ribera del Duero|Tempranillo|Doble Magnum (300cl)|610€|Nariz: cassis mineral. Boca: denso elegante. Magnum top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Doble Mg La Faraona 22-|2022|Bierzo|Mencía|Doble Magnum (300cl)|9569€|Nariz: frutas vermelhas ervas mineral. Boca: denso puro eterno. Magnum ícone. Beba agora-2050.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Doble Mg Las Lamas 22-|2022|Bierzo|Mencía|Doble Magnum (300cl)|951€|Nariz: frutas vermelhas mineral. Boca: cremoso longo. Magnum top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Doble Mg Valbuena 5º año 19-|2019|Ribera del Duero|Tempranillo|Doble Magnum (300cl)|2015€|Nariz: cassis ervas. Boca: cremoso taninos suaves. Magnum top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Doble Mg Vega Sicilia Unico 11-|2011|Ribera del Duero|Tempranillo|Doble Magnum (300cl)|5063€|Nariz: cassis mineral maduro. Boca: denso eterno. Magnum lendário. Beba agora-2060.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Doble Mg Victorino 22-|2022|Toro|Tinta de Toro|Doble Magnum (300cl)|342€|Nariz: frutas escuras especiarias. Boca: denso mineral. Magnum top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Doble Mg. Alion 19-|2019|Ribera del Duero|Tempranillo|Doble Magnum (300cl)|723€|Nariz: cassis ervas maduro. Boca: cremoso longo. Magnum top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dominio Aguila BL-|2020|Ribera del Duero|Tempranillo|198€|Nariz: cassis mineral. Boca: denso elegante. Blanco top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dominio de Anza El Rapolao 24-|2024|Bierzo|Mencía|105€|Nariz: frutas vermelhas ervas. Boca: puro mineral. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dominio de Anza Parcelas 23-|2023|Bierzo|Mencía|48€|Nariz: cereja flores. Boca: fresco mineral. Bom valor. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dominio de Anza Parcelas 24-|2024|Bierzo|Mencía|44€|Nariz: frutas vermelhas mineral. Boca: tenso puro. Jovem top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dominio de Anza Valdehorta 24-|2024|Bierzo|Mencía|126€|Nariz: cereja ervas. Boca: denso elegante. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dominio De Calogia 21-|2021|Ribera del Duero|Tempranillo|119€|Nariz: cassis ervas. Boca: cremoso taninos suaves. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dominio de Calogía Cuvée S 20-|2020|Ribera del Duero|Tempranillo|238€|Nariz: frutas escuras mineral. Boca: denso complexo. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dominio de Calogía Doble M 20-|2020|Ribera del Duero|Tempranillo|58€|Nariz: cassis mineral. Boca: cremoso elegante. Bom valor. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dominio de de Es La Mata 22-|2022|Ribera del Duero|Tempranillo|710€|Nariz: cassis ervas mineral. Boca: denso puro. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dominio de Es Carravilla 22-|2022|Ribera del Duero|Tempranillo|591€|Nariz: frutas escuras mineral. Boca: cremoso longo. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dominio de Es La Diva 22-|2022|Ribera del Duero|Tempranillo|1364€|Nariz: cassis violetas. Boca: denso elegante. Ícone. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dominio del Soto Camino Gumiel 21-|2021|Ribera del Duero|Tempranillo|67€|Nariz: frutas vermelhas ervas. Boca: fresco mineral. Bom valor. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dominio del Soto Cr. 20-|2020|Ribera del Duero|Tempranillo|37€|Nariz: cassis ervas. Boca: puro taninos suaves. Bom valor. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Domino Aguila Rva 20-|2020|Ribera del Duero|Tempranillo|180€|Nariz: cassis mineral. Boca: denso complexo. Reserva top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Domino Atauta 21-|2021|Ribera del Duero|Tempranillo|89€|Nariz: frutas escuras ervas. Boca: cremoso elegante. Atauta top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
El Picon de Barroso 21-|2021|Ribera del Duero|Tempranillo|185€|Nariz: cassis mineral. Boca: denso puro. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Figuero Viñas Viejas 23-|2023|Ribera del Duero|Tempranillo|60€|Nariz: frutas escuras violetas. Boca: cremoso mineral. Viejas top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Finca Villacreces 20-|2020|Ribera del Duero|Tempranillo|63€|Nariz: cassis ervas. Boca: denso equilibrado. Bom valor. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
